ID fysisk,ID digital,benämning på data.kb.se,benämning (2) på data.kb.se,weburn pdf,tif master,tif master (2),reginaid
11789727,18036581,"18036581,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036581,"https://data.kb.se/datasets/2014/10/suecia/18036581,1.tif",,004096204
11791687,18036582,"18036582,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036582,"https://data.kb.se/datasets/2014/10/suecia/18036582,1.tif",,004096205
11791697,18036583,"18036583,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036583,"https://data.kb.se/datasets/2014/10/suecia/18036583,1.tif",,004096206
11791710,18036584,"18036584,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036584,"https://data.kb.se/datasets/2014/10/suecia/18036584,1.tif",,004096207
11803011,18036585,"18036585,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036585,"https://data.kb.se/datasets/2014/10/suecia/18036585,1.tif",,004096208
11803785,18036586,"18036586,1.tif","18036586,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036586,"https://data.kb.se/datasets/2014/10/suecia/18036586,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036586,2.tif",004096209
11805815,18036587,"18036587,1.tif","18036587,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036587,"https://data.kb.se/datasets/2014/10/suecia/18036587,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036587,2.tif",004096210
11805831,18036588,"18036588,1.tif","18036588,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036588,"https://data.kb.se/datasets/2014/10/suecia/18036588,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036588,2.tif",004096211
11805883,18036589,"18036589,1.tif","18036589,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036589,"https://data.kb.se/datasets/2014/10/suecia/18036589,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036589,2.tif",004096212
11805892,18036590,"18036590,1.tif","18036590,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036590,"https://data.kb.se/datasets/2014/10/suecia/18036590,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036590,2.tif",004096213
14767772,18036591,18036591.zip,,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036591,https://data.kb.se/datasets/2014/10/suecia/18036591.zip,,004096214
14768147,18036592,"18036592,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036592,"https://data.kb.se/datasets/2014/10/suecia/18036592,1.tif",,004096215
15415152,18036593,"18036593,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036593,"https://data.kb.se/datasets/2014/10/suecia/18036593,1.tif",,004096216
15415162,18036594,"18036594,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036594,"https://data.kb.se/datasets/2014/10/suecia/18036594,1.tif",,004096217
15418158,18036595,"18036595,1.tif","18036595,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036595,"https://data.kb.se/datasets/2014/10/suecia/18036595,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036595,2.tif",004096218
15418312,18036596,"18036596,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036596,"https://data.kb.se/datasets/2014/10/suecia/18036596,1.tif",,004096219
15418540,18036597,"18036597,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036597,"https://data.kb.se/datasets/2014/10/suecia/18036597,1.tif",,004096220
15418636,18036598,"18036598,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036598,"https://data.kb.se/datasets/2014/10/suecia/18036598,1.tif",,004096221
15418697,18036599,"18036599,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036599,"https://data.kb.se/datasets/2014/10/suecia/18036599,1.tif",,004096222
15536381,18036600,"18036600,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036600,"https://data.kb.se/datasets/2014/10/suecia/18036600,1.tif",,004096223
15536608,18036601,"18036601,1.tif","18036601,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036601,"https://data.kb.se/datasets/2014/10/suecia/18036601,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036601,2.tif",004096224
15536621,18036602,"18036602,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036602,"https://data.kb.se/datasets/2014/10/suecia/18036602,1.tif",,004096225
15536730,18036603,18036603.zip,,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036603,https://data.kb.se/datasets/2014/10/suecia/18036603.zip,,004096226
15537007,18036604,"18036604,1.tif","18036604,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036604,"https://data.kb.se/datasets/2014/10/suecia/18036604,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036604,2.tif",004096227
15650713,18036605,"18036605,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036605,"https://data.kb.se/datasets/2014/10/suecia/18036605,1.tif",,004096228
15761364,18036606,"18036606,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036606,"https://data.kb.se/datasets/2014/10/suecia/18036606,1.tif",,004096229
15761472,18036607,"18036607,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036607,"https://data.kb.se/datasets/2014/10/suecia/18036607,1.tif",,004096230
15761554,18036608,18036608.zip,,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036608,https://data.kb.se/datasets/2014/10/suecia/18036608.zip,,004096231
15874413,18036609,"18036609,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036609,"https://data.kb.se/datasets/2014/10/suecia/18036609,1.tif",,004096232
15875126,18036610,"18036610,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036610,"https://data.kb.se/datasets/2014/10/suecia/18036610,1.tif",,004096233
15976764,18036611,"18036611,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036611,"https://data.kb.se/datasets/2014/10/suecia/18036611,1.tif",,004096234
15976997,18036612,"18036612,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036612,"https://data.kb.se/datasets/2014/10/suecia/18036612,1.tif",,004096235
15977402,18036613,"18036613,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036613,"https://data.kb.se/datasets/2014/10/suecia/18036613,1.tif",,004096236
15979926,18036614,"18036614,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036614,"https://data.kb.se/datasets/2014/10/suecia/18036614,1.tif",,004096237
15980060,18036615,"18036615,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036615,"https://data.kb.se/datasets/2014/10/suecia/18036615,1.tif",,004096238
