ID fysisk,ID digital,benämning på data.kb.se,weburn pdf,datakbse pdf,reginaid
8437851,saknas,8437851.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8437851,https://data.kb.se/datasets/2016/05/suecia/8437851.pdf,001923686
8437644,saknas,8437644.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8437644,https://data.kb.se/datasets/2016/05/suecia/8437644.pdf,001923736
8438225,saknas,8438225.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8438225,https://data.kb.se/datasets/2016/05/suecia/8438225.pdf,001923741
8439402,saknas,8439402.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8439402,https://data.kb.se/datasets/2016/05/suecia/8439402.pdf,001923757
8448467,saknas,8448467.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8448467,https://data.kb.se/datasets/2016/05/suecia/8448467.pdf,001923811
8448586,saknas,8448586.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8448586,https://data.kb.se/datasets/2016/05/suecia/8448586.pdf,001923868
8449324,saknas,8449324.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449324,https://data.kb.se/datasets/2016/05/suecia/8449324.pdf,001924049
8449239,saknas,8449239.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449239,https://data.kb.se/datasets/2016/05/suecia/8449239.pdf,001924079
8449234,saknas,8449234.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449234,https://data.kb.se/datasets/2016/05/suecia/8449234.pdf,001924082
8449229,saknas,8449229.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449229,https://data.kb.se/datasets/2016/05/suecia/8449229.pdf,001924085
8449432,saknas,8449432.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449432,https://data.kb.se/datasets/2016/05/suecia/8449432.pdf,001924169
8449774,saknas,8449774.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8449774,https://data.kb.se/datasets/2016/05/suecia/8449774.pdf,001924202
