7278330,WS 105,155.4
9892710,WS 105,155.4
9104147,WS 350,155.9
7282748,WS 105,155.9
19404482,WM 425.5.C6,155.9
14573426,WM 401,155.9
7227049,WM 401,155.9
8741897,WM 401,155.9
13936735,WM 172,155.9
10736868,WM 172,155.9
18028833,WM 172,155.9
9357240,WM 172,155.9
10735691,WM 172,155.9
9654500,WM 172,155.9
9056781,WM 172,155.9
10024308,WM 172,155.9
9828174,WM 172,155.9
7221311,WM 170,155.9
9799691,WM 170,155.9
21773789,Do,155.9
17062284,Do,155.9
8348506,Do,155.9
9146167,Do,155.9
6919891,WS 420,155.4
22413519,WS 350.8.S6,155.4
4c1jrqw62nmhzt82,WS 350.6,155.4
8348402,WS 350.6,155.4
7228367,WS 350.2,155.4
16439787,WS 350,155.4
11222776,WS 350,155.4
7229363,WS 350,155.4
11354408,WS 350,155.4
10654118, WS 340,155.4
7277795, WS 105.5.P5,155.4
19711986,WS 105.5.H2,155.4
10654122,WS 105.5.F2,155.4
7767311,WS 105.5.F2,155.4
13526753,WS 105.5.F2,155.4
8354360,WS 105.5.F2,155.4
7228952,WS 105.5.F2,155.4
10658283,WS 105.5.E5,155.4
19567601,WS 105.5.D2,155.4
10361767,WS 105.5.A8,155.4
7228543,WS 105.5.A8,155.937
11653914,L,155.937
14857444,WB 310,155.937
14741351,Dokc,155.937
7774523,WS 350.2,155.937
10470590,WS 350.2,155.937
2071823,WS 105.5.E5,155.937
7412011,WS 105.5.A8,155.937
9709777,WS 105.5.A8,155.937
7282803,WS 105.5.A8,155.937
17854690,Dokc,155.937
11200723,Dokc,155.937
10282886,Dokc,155.937
16464812,Dokc,155.937
19481157,Dokc,155.937
12327692,Dokc,155.937
9174073,Dokc,155.937
10318023,Dokc,155.937
10354284,Dokc,155.937
11305258,Dokc,155.937
10581718,Dokc,155.937
10167279,Dokc,155.937
10520063,Do,158
11438365,Do,158
8357942,Do,158
7408037,Do,158
12335553,Do,158
9828147,Do,158
11777744,Do,158
9828168,Do,158
9628640,D,158
9592857,Do,158
18542079,Do,158
10207565,Do,158
