LibrisCN_elekt;LibrisID_elekt;Status;url;epub;Omslagsbild
;1b3rxzp2zk0v5fm3;LinkHld;https://litteraturbanken.se/författare/StadlingJonssonJ/titlar/SomManRoparISkogen/info;;
;7j5cv7w857f0lp37;LinkHld;https://litteraturbanken.se/författare/RydforssK/titlar/LyroslagOchFolklåtar/info;;
;5jw1gw1t3ts8whq6;LinkHld;https://litteraturbanken.se/författare/BoyeF/titlar/DenDygdigesOchDenLastfullesVandelOchÖden/info;;
;7lqmjw065r61qv2n;LinkHld;https://litteraturbanken.se/författare/HedlundSA/titlar/BeskrifningÖfverWestraStambanan/info;;
19731201;;LinkHld;https://litteraturbanken.se/författare/AgrellA/titlar/HvadIngenSer/info;;
21520823;;LinkHld;https://litteraturbanken.se/författare/BergerL/titlar/PlogOchKräkla/info;;
20915402;;LinkHld;https://litteraturbanken.se/författare/RidderstadCF/titlar/DagrarOchSkuggor1/info;;
21864316;;LinkHld;https://litteraturbanken.se/författare/ÖdmannJM/titlar/Ruth/info;;
22108262;;LinkHld;https://litteraturbanken.se/författare/StjernströmL/titlar/SvenskaHistoriskaBerättelser5/info;;
22699912;;LinkHld;https://litteraturbanken.se/författare/CleveAlma/titlar/EvaSten/info;;
22697550;;LinkHld;https://litteraturbanken.se/författare/KerfveA/titlar/Röntgenstrålar/info;;
;3cd3z4f41gjvm70h;LinkHld;https://litteraturbanken.se/författare/BjörkC/titlar/Björkqvistarne1896/info;;
;lvwm2qv4jk3prgjm;LinkHld;https://litteraturbanken.se/författare/NordenadlerE/titlar/IEdsbroPension/info;;
;4dfmhhc22f1x7832;LinkHld;https://litteraturbanken.se/författare/EmanuelssonV/titlar/SmåTing/info;;
22548734;;LinkHld;https://litteraturbanken.se/författare/WhitlockE/titlar/Dikter/info;;
;08b2qf61x1cw5shb;LinkHld;https://litteraturbanken.se/författare/NycanderF/titlar/Vestkust/info;;
;hrr59f65f4bd38l8;LinkHld;https://litteraturbanken.se/författare/GranathW/titlar/CarolinensMinnen/info;;
;7hpcfbd35z92v78q;LinkHld;https://litteraturbanken.se/författare/SundgrenF/titlar/Noveller/info;;
;fprh5rcvc1nvt9lk;LinkHld;https://litteraturbanken.se/författare/SchröderG/titlar/PavoMakkran/info;;
;r17w0bb4p8w0m35w;LinkHld;https://litteraturbanken.se/författare/BeskowElisabeth/titlar/LjudandeMalm/info;;
;hrzldz1xfcvwm10f;LinkHld;https://litteraturbanken.se/författare/ÅbergJO/titlar/Svärdshugg/info;;
;r197lxjspqs1q3d5;LinkHld;https://litteraturbanken.se/författare/StarnbergM/titlar/MedEllerMotSinNatur/info;;
;t3c9mxkdrpfw76q3;LinkHld;https://litteraturbanken.se/författare/WickströmVH/titlar/Mansstudier/info;;
;hrr59mnkfxpzdb9c;LinkHld;https://litteraturbanken.se/författare/NissenC/titlar/SolensBarn/info;;
;r197lw9tp4xzqsbl;LinkHld;https://litteraturbanken.se/författare/WallmoU/titlar/LöjtnantRustanStormfeldt/info;;
22548819;;LinkHld;https://litteraturbanken.se/författare/WickströmVH/titlar/EnModernHistoria/info;;
20915261;;LinkHld;https://litteraturbanken.se/författare/StjernströmL/titlar/SvenskaHistoriskaBerättelser2/info;;
20915262;;LinkHld;https://litteraturbanken.se/författare/StjernströmL/titlar/SvenskaHistoriskaBerättelser1/info;;
21805404;;LinkHld;https://litteraturbanken.se/författare/StjernströmL/titlar/SvenskaHistoriskaBerättelser6/info;;
19466973;;LinkHld;https://litteraturbanken.se/författare/StrindbergA/titlar/RödaRummet1880/info;;
19981452;;LinkHld;https://litteraturbanken.se/författare/ScholanderFW/titlar/FWScholandersSkrifter4/info;;
19976851;;LinkHld;https://litteraturbanken.se/författare/PfeifferS/titlar/GuldetsMakt/info;;
20396761;;LinkHld;https://litteraturbanken.se/författare/BeskowCA/titlar/Humoresker/info;;
20696358;;LinkHld;https://litteraturbanken.se/författare/WernbergHj/titlar/SkisserOchHumoresker/info;;
;q017hjkkn0d0v7zd;LinkHld;https://litteraturbanken.se/författare/GeijerstamG/titlar/Undantagsgumman/info;;
;2bckv42k0jg1sw14;LinkHld;https://litteraturbanken.se/författare/HedenstiernaA/titlar/LillaVildkatten/info;;
22698858;;LinkHld;https://litteraturbanken.se/författare/StjernströmL/titlar/HistoriskaBerättelserFörFolket2/info;;
;lvw3drxcjw3nv466;LinkHld;https://litteraturbanken.se/författare/KeyserHF/titlar/Brudsmycket/info;;
;jtbpck1cgn8758xs;LinkHld;https://litteraturbanken.se/författare/SwedbergJ/titlar/GudzBarnasHeligaSabbatsro2/info;;
;zbqn83ccw7f895vz;LinkHld;https://litteraturbanken.se/författare/HenrikssonJ/titlar/VäxternaIDeGamlasFöreställningar/info;;
;8n70c0w36k6v1gj4;LinkHld;https://litteraturbanken.se/författare/KræmerV/titlar/ViRederOssSjälva/info;;
14855633;;LinkHld;https://litteraturbanken.se/författare/HeadR/titlar/ÖönsOBrazile/info;;
;gvf6mhfqdvfxxqzh;LinkHld;https://litteraturbanken.se/författare/KræmerV/titlar/Onsdagsklubben/info;;
;lzhdhp41jgv25dls;LinkHld;https://litteraturbanken.se/författare/FitzgeraldFS/titlar/DenStoreGatsby/info;;
;7hk1hlcb5wb43dm8;LinkHld;https://litteraturbanken.se/författare/PaulA/titlar/HerrLudvigs/info;;
;fpqgwtl9c07dvxx1;LinkHld;https://litteraturbanken.se/författare/ForssmanE/titlar/VidAftonlampan1/info;;
21245323;;LinkHld;https://litteraturbanken.se/författare/StjernströmL/titlar/StenStureDenYngre1/info;;
;6ggvz5f049sb248j;LinkHld;https://litteraturbanken.se/författare/ThorsanderG/titlar/EllasFriare/info;;
21899729;;LinkHld;https://litteraturbanken.se/författare/LindholmF/titlar/Tidningsmannen/info;;
21520837;;LinkHld;https://litteraturbanken.se/författare/BohmanJG/titlar/FörRoSkull/info;;
21520911;;LinkHld;https://litteraturbanken.se/författare/ForsmanKF/titlar/SvagaStunder/info;;
22271477;;LinkHld;https://litteraturbanken.se/författare/WigertInez/titlar/SkämtOchAllvar/info;;
22271478;;LinkHld;https://litteraturbanken.se/författare/Anonym/titlar/EnNyMärkvärdigHistoriaOmKlokaStina/info;;
22695755;;LinkHld;https://litteraturbanken.se/författare/LevartJ/titlar/EttModerntDiktaröde/info;;
13882157;;LinkHld;https://litteraturbanken.se/författare/SparreS/titlar/IBundenForm/info;;
;gqq4855qd16qnlxh;LinkHld;https://litteraturbanken.se/författare/StrindbergO/titlar/FrånOrdnarOchSamqväm/info;;
;8jjx2zhx6hln5t5g;LinkHld;https://litteraturbanken.se/författare/ThorsanderG/titlar/IGårdarOchByar/info;;
21520124;;LinkHld;https://litteraturbanken.se/författare/LundquistE/titlar/SkuggorOchLjusglimtar/info;;
21520126;;LinkHld;https://litteraturbanken.se/författare/NorlinM/titlar/LäsarprestenOchFosterdöttrarne/info;;
22516198;;LinkHld;https://litteraturbanken.se/författare/KlinckowströmA/titlar/Fornsånger/info;;
22516162;;LinkHld;https://litteraturbanken.se/författare/LagerlöfErland/titlar/Dikter/info;;
22661882;;LinkHld;https://litteraturbanken.se/författare/MontgomeryCederhielmR/titlar/Dikter2/info;;
22516221;;LinkHld;https://litteraturbanken.se/författare/JohnsonJ/titlar/GummanMinOchJag/info;;
22661558;;LinkHld;https://litteraturbanken.se/författare/SöderbergN/titlar/Strängalek/info;;
22667659;;LinkHld;https://litteraturbanken.se/författare/WestermarkO/titlar/CeciliaWilkens/info;;
22678894;;LinkHld;https://litteraturbanken.se/författare/LönnbergM/titlar/FrånSkildaTider/info;;
;7hj88jj054h7b5bb;LinkHld;https://litteraturbanken.se/författare/KärrströmEJ/titlar/BlandYankeesOchIndianer/info;;
;ktvllrx5h9x9lgm9;LinkHld;https://litteraturbanken.se/författare/KochE/titlar/Lefnadslycka/info;;
22699908;;LinkHld;https://litteraturbanken.se/författare/FrankS/titlar/Arftagerskan/info;;
;x66lqx02v98njhh9;LinkHld;https://litteraturbanken.se/författare/GernandtClaineJ/titlar/Pampan/info;;
;nxzp4t3bl1n0v8vh;LinkHld;https://litteraturbanken.se/författare/LundbergT/titlar/Dikter/info;;
;4ddsz0pt2kpzt50f;LinkHld;https://litteraturbanken.se/författare/LindhéW/titlar/ElsaWang/info;;
;5fftxl8k3kt9qtcq;LinkHld;https://litteraturbanken.se/författare/JohnsonJ/titlar/KaptenPunschsÄfventyr/info;;
;blmtpl98834qn82d;LinkHld;https://litteraturbanken.se/författare/BraunerhjelmA/titlar/IUngaDagar/info;;
;z7hfs31gwn52cq9v;LinkHld;https://litteraturbanken.se/författare/LandahlM/titlar/NyaDikter/info;;
;3ccrpl8k1s50ltg4;LinkHld;https://litteraturbanken.se/författare/KerfveA/titlar/SvenskaHjältarIBoerkriget/info;;
;20092867;LinkHld;https://litteraturbanken.se/författare/LidholmA/titlar/BrudenPåKinnekulle1/info;;
;20172548;LinkHld;https://litteraturbanken.se/författare/MörnerB/titlar/Tattarblod/info;;
;20070207;LinkHld;https://litteraturbanken.se/författare/KamkeH/titlar/KurtisOchKärlek/info;;
;20172551;LinkHld;https://litteraturbanken.se/författare/PeterssonS/titlar/Vågskum/info;;
;21240405;LinkHld;https://litteraturbanken.se/författare/StackelbergO/titlar/UrOlofStigsEfterlemnadePapper/info;;
;21242261;LinkHld;https://litteraturbanken.se/författare/TammelinF/titlar/Dikter2/info;;
;21241291;LinkHld;https://litteraturbanken.se/författare/SundbladJ/titlar/SkärgårdslifIVester/info;;
21890189;;LinkHld;https://litteraturbanken.se/författare/SchéeleAA/titlar/Lutfiskblöterskan/info;;
17921798;;LinkHld;https://litteraturbanken.se/författare/TenowE/titlar/Brokigt/info;;
21892807;;LinkHld;https://litteraturbanken.se/författare/LundquistE/titlar/Smink/info;;
21892052;;LinkHld;https://litteraturbanken.se/författare/NordensvanG/titlar/Lek/info;;
21892842;;LinkHld;https://litteraturbanken.se/författare/LundquistA/titlar/FolklifsbilderFrånSödermanland/info;;
21901580;;LinkHld;https://litteraturbanken.se/författare/LindhéW/titlar/FångenOchFri/info;;
22430399;;LinkHld;https://litteraturbanken.se/författare/WallmarkE/titlar/FrånUngdomstid/info;;
22428279;;LinkHld;https://litteraturbanken.se/författare/ÅbergJO/titlar/GustafAdolfOchEbbaBrahe/info;;
22430402;;LinkHld;https://litteraturbanken.se/författare/TörnerO/titlar/KlokEllerGalen/info;;
;lwg52tt9j06j7l86;LinkHld;https://litteraturbanken.se/författare/HastadiusLE/titlar/Jwlecomoedia/info;;
;1drdkfhszr8mxxzs;LinkHld;https://litteraturbanken.se/författare/SterneL/titlar/YoricksResa1/info;;
;fs5f2fdcc7lwnvf7;LinkHld;https://litteraturbanken.se/författare/StålbergW/titlar/NordisktMythologisktLexikon/info;;
;s5kgn0qlq0kcwwnw;LinkHld;https://litteraturbanken.se/författare/ElgströmO/titlar/EnFantasiensBlomsterkvast/info;;
;t6lhpfmwrx24n2zn;LinkHld;https://litteraturbanken.se/författare/ElgströmO/titlar/FantastiskaNoveller/info;;
;w8m8brfxtq4k9b1q;LinkHld;https://litteraturbanken.se/författare/SterneL/titlar/YoricksResa2/info;;
;mzdtdmdlkj44tgrn;LinkHld;https://litteraturbanken.se/författare/SwedenborgE/titlar/SwedenborgsDrömbok/info;;
;t6lj7s79rr0b8j2x;LinkHld;https://litteraturbanken.se/författare/SwedenborgE/titlar/UtdragAfEttBref30October1769/info;;
20797450;;LinkHld;https://litteraturbanken.se/författare/KræmerL/titlar/SångerOchBilder/info;;
20797094;;LinkHld;https://litteraturbanken.se/författare/ThorsanderG/titlar/FrånDenna/info;;
20265919;;LinkHld;https://litteraturbanken.se/författare/SchenfeltI/titlar/FörtaletsVanmakt/info;;
20798498;;LinkHld;https://litteraturbanken.se/författare/BergerL/titlar/Dikter2/info;;
20699839;;LinkHld;https://litteraturbanken.se/författare/ÅbergJO/titlar/KonungensKäpp/info;;
20814344;;LinkHld;https://litteraturbanken.se/författare/NelsonJF/titlar/SkuggorOchDagrar/info;;
21153373;;LinkHld;https://litteraturbanken.se/författare/LiedbeckCH/titlar/InomOchUtomskärs/info;;
22451222;;LinkHld;https://litteraturbanken.se/författare/StrömmerstedtF/titlar/Dikter/info;;
21497549;;LinkHld;https://litteraturbanken.se/författare/TigerschiöldH/titlar/Dikter1888/info;;
21505826;;LinkHld;https://litteraturbanken.se/författare/StrömstenLM/titlar/SamladeDikter/info;;
21574784;;LinkHld;https://litteraturbanken.se/författare/KræmerL/titlar/PoesiensVandring/info;;
21574799;;LinkHld;https://litteraturbanken.se/författare/LagergrenCarl/titlar/Sjöbris/info;;
21892539;;LinkHld;https://litteraturbanken.se/författare/Anonym/titlar/Notisjägaren/info;;
21892702;;LinkHld;https://litteraturbanken.se/författare/BondesonA/titlar/Smålandsknekten/info;;
21764091;;LinkHld;https://litteraturbanken.se/författare/LindblomE/titlar/Viola/info;;
21702456;;LinkHld;https://litteraturbanken.se/författare/MonténRA/titlar/Qvartermastern/info;;
21820578;;LinkHld;https://litteraturbanken.se/författare/JohnsonJ/titlar/Glam1/info;;
21962114;;LinkHld;https://litteraturbanken.se/författare/EmanuelssonV/titlar/TeckningarUrLifvet/info;;
