eid;Länk i klartext;Epub;Omslagsbild
21931928;https://litteraturbanken.se/författare/JohnsonJ/titlar/EnÄfventyrligLustresa/info;;
21908899;https://litteraturbanken.se/författare/EngströmCA/titlar/FörsynensSkickelser/info;;
21908871;https://litteraturbanken.se/författare/HertzbergR/titlar/HelsingforsMonaco/info;;
21908748;https://litteraturbanken.se/författare/HofstenJC/titlar/BilderUrWermlandsFolklif/info;;
21906320;https://litteraturbanken.se/författare/Anonym/titlar/VäpnarenBryngelsÄfventyr/info;;
21892834;https://litteraturbanken.se/författare/LundinC/titlar/AlinaFrank/info;;
21892703;https://litteraturbanken.se/författare/BååthAU/titlar/DenSvenskeResenären/info;;
21892663;https://litteraturbanken.se/författare/HjelmqvistT/titlar/EnJulbild/info;;
21890201;https://litteraturbanken.se/författare/NybergJP/titlar/Gerolda/info;;
21890040;https://litteraturbanken.se/författare/OhlssonJ/titlar/IBetryck/info;;
21883689;https://litteraturbanken.se/författare/PihlstrandR/titlar/BirgerJarlsSöner/info;;
21869464;https://litteraturbanken.se/författare/KerfstedtA/titlar/Eva/info;;
21864315;https://litteraturbanken.se/författare/PihlstrandR/titlar/FrökenBärfeltsHemlighet/info;;
21848505;https://litteraturbanken.se/författare/WetterberghCA/titlar/UrOnkelAdamsPortfölj/info;;
21820600;https://litteraturbanken.se/författare/WilénF/titlar/MuntraHistorierFrånLandOchHaf/info;;
21820574;https://litteraturbanken.se/författare/NordinJAE/titlar/SeverinNorby/info;;
21805396;https://litteraturbanken.se/författare/PihlstrandR/titlar/MillionärensDotterson/info;;
21770473;https://litteraturbanken.se/författare/JohnsonJ/titlar/FarbrorTrulslundsStockholmstrip/info;;
21770471;https://litteraturbanken.se/författare/WetterberghCA/titlar/BerättelserSkizzerOchNoveller1/info;;
21770103;https://litteraturbanken.se/författare/WetterberghCA/titlar/BerättelserSkizzerOchNoveller2/info;;
21765358;https://litteraturbanken.se/författare/ÅbergJO/titlar/GustafIIAdolphsSistaGåfva/info;;
21702477;https://litteraturbanken.se/författare/BehmO/titlar/SmåStrider/info;;
21645782;https://litteraturbanken.se/författare/Anonym/titlar/SjelfmördarensFästmö/info;;
21645669;https://litteraturbanken.se/författare/TegnérE/titlar/UrEsaiasTegnérsPapper/info;;
21642397;https://litteraturbanken.se/författare/NordlingJohan/titlar/Qvinnor/info;;
21628936;https://litteraturbanken.se/författare/JohansdotterBergM/titlar/Folkdikter/info;;
21588764;https://litteraturbanken.se/författare/BanérB/titlar/BarbroBanérsVisbok/info;;
21581453;https://litteraturbanken.se/författare/NèlsonJF/titlar/Godsförvaltaren/info;;
21579630;https://litteraturbanken.se/författare/NordmannP/titlar/MotFyren/info;;
21562194;https://litteraturbanken.se/författare/LundinC/titlar/StockholmstyperFörrOchNu/info;;
21532835;https://litteraturbanken.se/författare/ReuterJ/titlar/Dikter/info;;
21532810;https://litteraturbanken.se/författare/SaxonJL/titlar/IHanegället/info;;
21532710;https://litteraturbanken.se/författare/SchultzJG/titlar/VärjhuggOchNålsting/info;;
21532686;https://litteraturbanken.se/författare/StrindbergA/titlar/LiktOchOlikt2_1884/info;;
21520904;https://litteraturbanken.se/författare/EhrnroothA/titlar/BlandFattigaOchRika/info;;
