LIBRIS_ID	Sigel	Location_Code_852$c	Placering_852$h$l
10573251	Jon	SKON	Fiction (English) EDWA
11935242	Jon	SKON	Fiction (English) EDWA
12497292	Jon	SKON	Fiction (English) EGAN
21625277	Jon	SKON	Fiction (English) EGAN
4528524	Jon	SKON	Fiction (English) EKMA
16542062	Jon	SKON	Fiction (English) ELFG
19440176	Jon	SKON	Fiction (English) ELFG
19456646	Jon	SKON	Fiction (English) ELFG
15158842	Jon	SKON	Fiction (English) ELIO
16555186	Jon	SKON	Fiction (English) ELLR
10611908	Jon	SKON	Fiction (English) ENRI
18809117	Jon	SKON	Fiction (English) ENRI
11696360	Jon	SKON	Fiction (English) ERDR
10046975	Jon	SKON	Fiction (English) ERIC
12031175	Jon	SKON	Fiction (English) EVAN
22520566	Jon	SKON	Fiction (English) EVAN
17542006	Jon	SKON	Fiction (English) FABE
11930097	Jon	SKON	Fiction (English) FAUL
4528434	Jon	SKON	Fiction (English) FAUL
20072340	Jon	SKON	Fiction (English) FEEN
14698565	Jon	SKON	Fiction (English) FERR
14698566	Jon	SKON	Fiction (English) FERR
16985263	Jon	SKON	Fiction (English) FERR
18305807	Jon	SKON	Fiction (English) FERR
192834975	Jon	SKON	Fiction (English) FIEL
19483157	Jon	SKON	Fiction (English) FILI
9827084	Jon	SKON	Fiction (English) FITZ
16760733	Jon	SKON	Fiction (English) FLAN
14009802	Jon	SKON	Fiction (English) FOLL
17611114	Jon	SKON	Fiction (English) FOLL
19440462	Jon	SKON	Fiction (English) FOLL
10615643	Jon	SKON	Fiction (English) FORD
11404821	Jon	SKON	Fiction (English) FORD
14221513	Jon	SKON	Fiction (English) FORD
5123213	Jon	SKON	Fiction (English) FORD
10765738	Jon	SKON	Fiction (English) FOWL
4811873	Jon	SKON	Fiction (English) FOWL
11982023	Jon	SKON	Fiction (English) FRAN
12031150	Jon	SKON	Fiction (English) FRAN
17835084	Jon	SKON	Fiction (English) FRAN
12244186	Jon	SKON	Fiction (English) FREN
5053137	Jon	SKON	Fiction (English) FRIE
20004731	Jon	SKON	Fiction (English) FUND
17584226	Jon	SKON	Fiction (English) GAIM
19530963	Jon	SKON	Fiction (English) GAIM
11797981	Jon	SKON	Fiction (English) GAPP
17754498	Jon	SKON	Fiction (English) GATT
19465928	Jon	SKON	Fiction (English) GAY
21728645	Jon	SKON	Fiction (English) GEOR
13988912	Jon	SKON	Fiction (English) GERR
21572977	Jon	SKON	Fiction (English) GHAL
4938572	Jon	SKON	Fiction (English) GIBS
20207151	Jon	SKON	Fiction (English) GLUK
12183384	Jon	SKON	Fiction (English) GODD
192818376	Jon	SKON	Fiction (English) GOGO
399501487	Jon	SKON	Fiction (English) GOLD
884271536	Jon	SKON	Fiction (English) GOLD
17365367	Jon	SKON	Fiction (English) GOLD
5049483	Jon	SKON	Fiction (English) GOLD
11728179	Jon	SKON	Fiction (English) GORD
4571428	Jon	SKON	Fiction (English) GORD
9693856	Jon	SKON	Fiction (English) GORD
19092641	Jon	SKON	Fiction (English) GOTO
11305648	Jon	SKON	Fiction (English) GRAH
8705108	Jon	SKON	Fiction (English) GREE
9908655566	Jon	SKON	Fiction (English) GREE
6f3ltr924z3x92dr	Jon	SKON	Fiction (English) GREE
19578058	Jon	SKON	Fiction (English) GRIF
20072867	Jon	SKON	Fiction (English) GRIF
12031194	Jon	SKON	Fiction (English) GRIS
19577006	Jon	SKON	Fiction (English) GRIS
4526714	Jon	SKON	Fiction (English) GRIS
4528061	Jon	SKON	Fiction (English) GRIS
gpb8ttc4dkdrd003	Jon	SKON	Fiction (English) GROF
20859689	Jon	SKON	Fiction (English) GROS
10544325	Jon	SKON	Fiction (English) GRUE
9673543	Jon	SKON	Fiction (English) HADD
4575401	Jon	SKON	Fiction (English) HAFI
20900940	Jon	SKON	Fiction (English) HAIG
552136786	Jon	SKON	Fiction (English) HAIL
10614033	Jon	SKON	Fiction (English) HAMM
19414705	Jon	SKON	Fiction (English) HAN
22600006	Jon	SKON	Fiction (English) HANN
16594337	Jon	SKON	Fiction (English) HARD
6450777	Jon	SKON	Fiction (English) HARD
9929977236	Jon	SKON	Fiction (English) HARD
12031086	Jon	SKON	Fiction (English) HARR
17103963	Jon	SKON	Fiction (English) HARR
17115422	Jon	SKON	Fiction (English) HAWK
17406097	Jon	SKON	Fiction (English) HAYE
8741675	Jon	SKON	Fiction (English) HEAD
8293688	Jon	SKON	Fiction (English) HELL
4529375	Jon	SKON	Fiction (English) HEMI
4529384	Jon	SKON	Fiction (English) HEMI
12183334	Jon	SKON	Fiction (English) HENS
19279280	Jon	SKON	Fiction (English) HERR
11653578	Jon	SKON	Fiction (English) HESS
19289536	Jon	SKON	Fiction (English) HIGH
4527399	Jon	SKON	Fiction (English) HIGH
10582433	Jon	SKON	Fiction (English) HILL
4528442	Jon	SKON	Fiction (English) HOLL
9363676	Jon	SKON	Fiction (English) HOLL
10157348	Jon	SKON	Fiction (English) HORN
10796101	Jon	SKON	Fiction (English) HORN
11697020	Jon	SKON	Fiction (English) HORN
w59cbhp2txkkkqpr	Jon	SKON	Fiction (English) HORN
10552314	Jon	SKON	Fiction (English) HOSS
11286688	Jon	SKON	Fiction (English) HOSS
14083453	Jon	SKON	Fiction (English) HOWE
14294661	Jon	SKON	Fiction (English) HOWE
14732938	Jon	SKON	Fiction (English) HOWE
9206438	Jon	SKON	Fiction (English) HOWE
8292151	Jon	SKON	Fiction (English) HUGH
13541670	Jon	SKON	Fiction (English) HUGO
8816404	Jon	SKON	Fiction (English) HUGO
4820655	Jon	SKON	Fiction (English) HULM
6145505	Jon	SKON	Fiction (English) HURS
10906151	Jon	SKON	Fiction (English) HUST
8968977	Jon	SKON	Fiction (English) HUST
11640464	Jon	SKON	Fiction (English) HUXL
12031184	Jon	SKON	Fiction (English) IRVI
14010068	Jon	SKON	Fiction (English) IRVI
586047948	Jon	SKON	Fiction (English) ISHE
571154913	Jon	SKON	Fiction (English) ISHI
19109717	Jon	SKON	Fiction (English) ISHI
5055818	Jon	SKON	Fiction (English) ISHI
9878305	Jon	SKON	Fiction (English) ISHI
11918955	Jon	SKON	Fiction (English) JACK
192835432	Jon	SKON	Fiction (English) JAME
18430051	Jon	SKON	Fiction (English) JAME
4578048	Jon	SKON	Fiction (English) JAME
4581538	Jon	SKON	Fiction (English) JAME
4604897	Jon	SKON	Fiction (English) JAME
5056002	Jon	SKON	Fiction (English) JAME
10173976	Jon	SKON	Fiction (English) JERO
20919850	Jon	SKON	Fiction (English) JEWE
22283497	Jon	SKON	Fiction (English) JOHN
s2vdlk0cqhgzc6ln	Jon	SKON	Fiction (English) JOHN
9700057	Jon	SKON	Fiction (English) JONE
6133725	Jon	SKON	Fiction (English) JOSI
192834649	Jon	SKON	Fiction (English) JOYC
12279860	Jon	SKON	Fiction (English) JOYC
14008344	Jon	SKON	Fiction (English) JOYC
9931905891	Jon	SKON	Fiction (English) JOYC
17358965	Jon	SKON	Fiction (English) JULY
12085898	Jon	SKON	Fiction (English) KARA
10400838	Jon	SKON	Fiction (English) KAVA
8331717	Jon	SKON	Fiction (English) KEAN
10523838	Jon	SKON	Fiction (English) KEAT
9804601	Jon	SKON	Fiction (English) KELM
4844156	Jon	SKON	Fiction (English) KENE
9968474	Jon	SKON	Fiction (English) KERE
10563470	Jon	SKON	Fiction (English) KERO
10299576	Jon	SKON	Fiction (English) KESE
11395521	Jon	SKON	Fiction (English) KEYE
20172237	Jon	SKON	Fiction (English) KEYE
19524771	Jon	SKON	Fiction (English) KHEM
8850051	Jon	SKON	Fiction (English) KINC
17156912	Jon	SKON	Fiction (English) KING
17611374	Jon	SKON	Fiction (English) KING
18613088	Jon	SKON	Fiction (English) KING
19909569	Jon	SKON	Fiction (English) KING
20894138	Jon	SKON	Fiction (English) KING
21894076	Jon	SKON	Fiction (English) KING
mw133dmkk1nh99p0	Jon	SKON	Fiction (English) KING
21627825	Jon	SKON	Fiction (English) KINS
1853260991	Jon	SKON	Fiction (English) KIPL
18219901	Jon	SKON	Fiction (English) KIRK
21615537	Jon	SKON	Fiction (English) KO
99424916	Jon	SKON	Fiction (English) KOES
10492401	Jon	SKON	Fiction (English) KOON
5043728	Jon	SKON	Fiction (English) KOSI
11653590	Jon	SKON	Fiction (English) KRAU
19434895	Jon	SKON	Fiction (English) KRAU
22419499	Jon	SKON	Fiction (English) KRAU
9930094415	Jon	SKON	Fiction (English) KUND
14215032	Jon	SKON	Fiction (English) KURE
5055803	Jon	SKON	Fiction (English) KURE
17524607	Jon	SKON	Fiction (English) LAGE
11258876	Jon	SKON	Fiction (English) LAHI
9976502	Jon	SKON	Fiction (English) LAHI
13431681	Jon	SKON	Fiction (English) LANC
20218008	Jon	SKON	Fiction (English) LAND
21865106	Jon	SKON	Fiction (English) LAPI
11639764	Jon	SKON	Fiction (English) LARS
11653648	Jon	SKON	Fiction (English) LARS
13487821	Jon	SKON	Fiction (English) LARS
17839016	Jon	SKON	Fiction (English) LARS
435175211	Jon	SKON	Fiction (English) LAWR
11784720	Jon	SKON	Fiction (English) LE
18629434	Jon	SKON	Fiction (English) LE
