instance_digital	sameAsIdentifier_digital	localEntityControlNumber_digital	marcDisplayText_digital	instance_physical	sameAsIdentifier_physical	localEntityControlNumber_physical	marcDisplayText_physical
xg88f4s82q6zc94	10958888	10203794	Originalversion:	4mffpc0g0ksdgn3	10203794	10958888	Digitaliserad version:
1kcnfl7c49f5ln3	18151091	1205390	Orginalversion:	btm8s9zn1p29wkp	1205390	18151091	Digitaliserad version:
8sl21hkl027v0n3	22516188	1623971	Originalversion:	1jbz1hrc2f1vfrf	1623971	22516188	Digitaliserad version:
cwpskdxp404987r	13951131	1218953	Originalversion:	fxqcxw4r4cr22t4	1218953	13951131	Digitaliserad version:
dxq65mnq2vbc9p9	22516162	1624040	Originalversion:	btm8bs4n3tzldj0	1624040	22516162	Digitaliserad version:
l4x234lx0nzbbs9	14181028	1863008	Originalversion	xf7v78883mswpnw	1863008	14181028	Digitaliserad version
l4x23wnx2053z1r	14201788	8205448	Originalversion:	l3wspt2x27w2lxg	8205448	14201788	Digitaliserad version:
m5zcflxz3bjf1x4	20915999	3224444	Originalversion:	4mf43v5g3xfv7w4	3224444	20915999	Digitaliserad version:
m5zdz14z5sz1g27	21331979	1619786	Originalversion:	j1tghtlv1w2h5qk	1619786	21331979	Digitaliserad version:
q82680n21kkm5vr	14227742	10507	Originalversion:	wd6rwlw70s64tpd	10507	14227742	Digitaliserad version:
sb4lr2w45m8kl6h	22678894	1624623	Originalversion:	r82pr8732gmk2f8	1624623	22678894	Digitaliserad version:
tc59bc450nrzc39	14181275	2427816	Originalversion	vc5tt3r61wkx412	2427816	14181275	Digitaliserad version
6qjs6f6j19zznxd	17844916	9566970	Originalversion	n5zxg9z02f48k54	9566970	17844916	Digitaliserad version
cwptwm0p2f6jgnk	14227491	7257618	Originalversion	8rkf6dll33wtw1p	7257618	14227491	Digitaliserad version
l4x7kvcx52gtcc9	18628618	2880508	Originalversion	l3wl4lgx03x0t82	2880508	18628618	Digitaliserad version
zh9bfb993p4d1xh	11718909	11718905	Originalversion:	tc5696553vvpm1g	11718905	11718909	Digitaliserad version:
9tmw9kfm0sqlgc8	17845939	10176728	Orginalversion	xf77g5q85j9lsxr	10176728	17845939	Digitaliserad version
g0s2gr6s3rvhn65	17846484	10236571	Orginalversion	p600b40131q2czx	10236571	17846484	Digitaliserad version
xg8dfg280pt17w8	14181128	15116	Originalversion	j1tdjdmv2vsxqz1	15116	14181128	Digitaliserad version
xg8jx6582t98bmz	17846018	10189255	Orginalversion	h0ss266t0nmtx93	10189255	17846018	Digitaliserad version
wf7ll76721lfh6z	20007877	19985316	Originalversion:	vd6kjc364t6qk0l	19985316	20007877	Digitaliserad version:
fxqq2rgr2hkx7d7	10233653	341893	Orginalversion:	3ld0h29f5mt57fh	341893	10233653	Digitaliserad version:
h0ss4w9t4d478f1	10235245	1305001	Originalversion:	p60m9c110vb1wkl	1305001	10235245	Digital version:
n5zz8x902k5n2jg	10231470	2420008	Orginalversion:	l3wkkjsx1dt44h5	2420008	10231470	Digitaliserad version:
tb44gbw52vm9ccc	10238165	384669	Orginalversion:	zg8vfjp92f5t15h	384669	10238165	Digitaliserad version:
3mfp3dtf4bhtf7h	17846473	10232055	Orginalversion	5nggrffh18rgt97	10232055	17846473	Digitaliserad version
4ngq4fxg1ltr28z	17846534	10224280	Orginalversion	0h99l0mb59283np	10224280	17846534	Digitaliserad version
p719p0f11p4x0pv	17846461	10228921	Orginalversion	p6009vh11133hx0	10228921	17846461	Digitaliserad version
dxq3qtsq3vt8vkx	19712782	7416484	Originalversion:	s93zxsn44lhbw8r	7416484	19712782	Digitaliserad version:
l4x2480x2jmv1t2	14211088	364328	Originalversion:	xf7tcq284dxpspw	364328	14211088	Digitaliserad version:
5phr5d3h4j67plf	17844855	2431905	Originalversion:	5ng45klh4mxsp3l	2431905	17844855	Digitaliserad version:
wf7c0x572r4nwvq	14680747	7257498	Originalversion	8rkf6cgl1jgr985	7257498	14680747	Digitaliserad version
5phr5gzh14bptsh	17846535	10226676	Orginalversion	vc55gx560tz188x	10226676	17846535	Digitaliserad version
6qjs6f4j23nvf79	17844856	2431906	Originalversion:	6ph56lmj1wsjvv6	2431906	17844856	Digitaliserad version:
m5z7mwmz1bq8zkv	17845829	10519278	Orginalversion	8rkk76nl4l0ts77	10519278	17845829	Digitaliserad version
r93cs7534d8mbgb	17850663	2391598	Originalversion	l3wkjh7x1c0qzmc	2391598	17850663	Digitaliserad version
1kchlcqc1b5drhd	14229341	3619873	Originalversion:	3ld4khhf19r806k	3619873	14229341	Digitaliserad version:
2ldn2b9d41t1kmd	17846022	10190824	Orginalversion	s933ck842d0wck2	10190824	17846022	Digitaliserad version
6qjnqvnj2fjg2bc	14211136	142997	Originalversion:	7qj3dtfk3xv5s54	142997	14211136	Digitaliserad version:
g0s2gqls0dj866n	17845944	10190804	Orginalversion	4mffpwkg22d2xzj	10190804	17845944	Digitaliserad version
p71hnbx108crsv5	22661911	11415582	Originalversion:	2ldd45cd2zsb0bj	11415582	22661911	Digitaliserad version:
q82bq00258wktg4	17846042	11298189	Orginalversion	zh99wqt904hnc57	11298189	17846042	Digitaliserad version
0jbppjfb35lgmt6	20012500	14732668	Originalversion:	l4x2rkjx4q1kxq9	14732668	20012500	Digitaliserad version:
h1tz1r6t4dlm067	14227555	1624722	Originalversion	2kc02kmd0lk2ls7	1624722	14227555	Digitaliserad version
8slv8jkl3wkcbql	17846088	11304364	Orginalversion	sb44qsj42dws7fq	11304364	17846088	Digitaliserad version
q82bq1h21xc1xf7	17846492	10227316	Orginalversion	6phhs96j4q0frvx	10227316	17846492	Digitaliserad version
6qjzgbvj0ts93z4	22107916	8394078	Originalversion:	8rkhlgbl13hmqcq	8394078	22107916	Digitaliserad version:
j2v5hs5v5htpzm0	18628496	8351424	Originalversion	gzrnr34s42gsw9r	8351424	18628496	Digitaliserad version
vd6fqs664h45zqp	16918206	7263870	Originalversion	n5ztm0z00f052l2	7263870	16918206	Digitaliserad version
vd6ntl862q04xvp	22663866	22651728	Originalversion:	8sl26j5l0fq8gfq	22651728	22663866	Digitaliserad version:
