hubTitle	entity
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Fjellstedt. · 1851 · swe
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1716 · heb
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1790. · est
Imitatio Christi	Imitatio Christi. · fre
Jómsvikinga saga	Jómsvíkinga saga
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · Luther. · 1725 · ger
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Åkeson. · 1977 · swe
Mishnah	Mishna · Latin & Hebreiska
Bibeln. Malaki	Bible. · [O.T., Malachi., Julius.] · Paraphrases. · lat
Bibeln. Urval	Bibeln. · Urval. · 1792 · eng
Fyrsta málfræðiritgerðin	Fyrsta málfræðiritgerðin. · Engelska & Fornisländska
Bibeln. Gamla Testamentet. Urval	Bible. · [O.T., Sandys.] · Selections. · eng
Bibeln	Bibeln · amh
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet]
Bibeln. Paulus-breven	Bibeln. · [Paulus-breven] · Grekiska
Bibeln. Hosea	Bibeln. · [Hosea.] · Hebreiska & Italienska
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1624 · lat
Mormons bok	Book of Mormon.
Bibeln. Psaltaren	Bibeln. · [Psaltaren. Koptiska]
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · luo
Igorkvädet	Igorkvädet. · rus
Aisopos fabler. Urval	Aesop's fables. · Selections. · Henryson. · 1571 · sco
Mishnah. Sheviʻit	Mishna. · [Sheviʻit]
Maḥzor	Maḥzor. · Jiddisch & hebreiska
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · 1884 · swe
Tripiṭaka. Sūtrapiṭaka. Saṃdhinirmocanasūtra	Tripiṭaka. · [Sūtrapiṭaka., Samdhinirmocanasūtra.] · fre
Pāñcarātra	Pāñcarātra. · [Īśvarasaṃhitā.] · English & Sanskrit.
Pāñcarātra	Panchatantra. · kur
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · Michaeli. · 1771 · ger
Bibeln. Matteusevangeliet	Bibeln. · [Matteusevangeliet.] · krl
Bibeln. Nya Testamentet	Bibeln. · [N.T] · 1702 · Grekiska
Bibeln. Psaltaren. Urval	Bible. · [O.T., Psalms., Boisgelin.] · Selections. · eng
Den svenska psalmboken	Psalmboken 1806 Norrköping.
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1875 · swe
Den svenska psalmboken	Psalmboken 1858 Örebro
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · 1522 · lat
