entity	originDate	originPlace	marc:version
Bible. · [N.T., Gospel Harmonies., Macknight.] · eng			MacKnight
Bible. · [O.T., Psalms., Marot & Beze.] · fre			Marot & Beze
Bible. · [O.T., Psalms., Marot and Beze.] · fre			Marot & Beze
Bible. · [N.T., Martin.] · fre			Martin
Bible. · [O.T., Psalms., Maxwell.] · eng			Maxwell
Bible. · [O.T., Psalms., Merrick.] · eng			Merrick
Bible. · [O.T., Psalms., Merrick and Tattersall.] · eng			Merrick and Tattersall
Bible. · [N.T., Mark. Polish. Miłosz]			Milosz
Bible. · [O.T., Psalms., Mudge.] · eng			Mudge
Bible. · [O.T., Hosea., Neale.] · eng			Neale
Bible. · [N.T., O'Domhnuill.] · gle			O'Domhnuill
Bible. · [O.T., Psalms., Parker.] · eng			Parker
Bible. · [O.T., Psalms., Patrick.] · eng			Patrick
Bible. · [O.T., Psalms., Patrick.] · Selections. · eng			Patrick
Bible. · [O.T., Psalms., Price.] · wel			Price
Bible. · [O.T., Lamentations., Quarles.] · Paraphrases. · eng			Quarles
Bible. · [N.T., Gospels., Quesnel.] · eng			Quesnel
Bible. · [O.T., Psalms., Reformed Dutch Church in North America.] · eng			Reformed Dutch Church in North America
Bible. · [N.T., Revelation., Rheims.] · eng			Rheims
Bible. · [O.T., Psalms., Robertson.] · heb			Robertson
Bible. · [O.T., Psalms., Robson.] · eng			Robson
Bible. · [N.T., Scarlett.] · eng			Scarlett
Bible. · [N.T., Gospels. English. Scholars]			Scholars
Bible. · [O.T., Psalms., Schultze.] · por			Schultze
Bible. · [O.T., Job., Scott.] · eng			Scott
Bible. · [N.T., Matthew., Scott.] · eng			Scott
Bible. · [O.T., Psalms., Segar.] · Selections. · eng			Segar
Bible. · [O.T., Psalms., Serres.] · Selections. · Latin and Greek.			Serres
Bible. · [O.T., Psalms., Sherman.] · Selections. · eng			Sherman
Bible. · [O.T., Proverbs., Shorthand.] · eng			Shorthand
Bible. · [O.T., Psalms., Smart.] · eng			Smart
Bible. · [O.T., Psalms., Smart.] · Prospectus. · eng			Smart. Prospectus
Bible. · [O.T., Psalms., Smith.] · gla			Smith
Bible. · [O.T., Psalms., Squire.] · Selections. · eng			Squire
Bible. · [O.T., Song of Solomon., Stennett.] · eng			Stennett
Bible. · [O.T., Psalms., Sternhold.] · Selections. · eng			Sternhold
Bible. · [O.T., Psalms., Sternhold & Hopkins.] · eng			Sternhold and Hopkins
Bible. · [O.T., Pslams., Sternhold and Hopkins.] · eng			Sternhold and Hopkins
Bible. · [O.T., Psalms., Sternhold and Hopkins.] · eng			Sternhold and Hopkins
Bible. · [O.T., Psalms., Sternhold and Hopkins.] · Selections. · eng			Sternhold and Hopkins
Bible. · [O.T., Psalms., Street.] · eng			Street
Bible. · [O.T., Psalms., Tate and Brady.] · Abridgments. · eng			Tate and Brady
Bible. · [O.T., Psalms., Tate and Brady.] · eng			Tate and Brady
Bible. · [O.T., Psalms., Tate and Brady.] · Supplement. · eng			Tate and Brady
Bible. · [O.T., Psalms., Tate and Brady.] · Selections. · eng			Tate and Brady
Bible. · [O.T., Tate and Brady.] · Psalms. · eng			Tate and Brady          
Bible. · [O.T., Song of Solomon., Turner.] · eng			Turner
Bible. · [N.T., Epistle of John, 1st., Tyndale.] · eng			Tyndale
Bible. · [N.T., Epistles of John., Tyndale.] · eng			Tyndale
Bible. · [O.T., Jonah., Tyndale.] · eng			Tyndale
Bible. · [O.T., Pentateuch., Tyndale.] · eng			Tyndale
Bible. · [N.T., Tyndale.] · eng			Tyndale
Bible. · [O.T., Hagiographa., Tyndale-Taverner.] · Selections. · eng			Tyndale-Taverner
Bible. · [O.T., Psalms., Valentin.] · fre			Valentin
Bible. · [N.T., Vulgate.] · lat			Vulgata
Bible. · [O.T., Psalms., Vulgate.] · lat			Vulgata
Bible. · [O.T., Psalms., Wake.] · eng			Wake
Bible. · [N.T., Wakefield.] · eng			Wakefield
Bible. · [N.T., Wakefield.] · Selections. · eng			Wakefield
Bible. · [N.T., 1 Thessalonians., Wakefield.] · eng			Wakefield
Bible. · [O.T., Psalms., Walker.] · eng			Walker
Bible. · [O.T., Psalms., Watts.] · Abridgments. · eng			Watts
Bible. · [Psalms., Watts.] · O.T. · eng			Watts
Bible. · [O.T., Psalms., Watts.] · eng			Watts
Bible. · [O.T., Psalms., Watts and Barlow.] · eng			Watts and Barlow
Bible. · [O.T., Psalms., Watts and Mycall.] · eng			Watts and Mycall
Bible. · [N.T., Gospels., Wells.] · English and Greek.			Wells
Bible. · [O.T., Hagiographa., Wells.] · eng			Wells
Bible. · [N.T., Hebrews., Wells.] · Polyglot.			Wells
Bible. · [O.T., Ezekiel., Wells.] · eng			Wells
Bible. · [N.T., John., Wells.] · Polyglot.			Wells
Bible. · [N.T., Luke and Acts., Wells.] · English and Greek.			Wells
Bible. · [O.T., Genesis., Wells.] · eng			Wells
Bible. · [O.T., Pentateuch., Wells.] · eng			Wells
Bible. · [N.T., Romans., Wells.] · Polyglot.			Wells
Bible. · [N.T., Revelation., Wells.] · Polyglot.			Wells
Bible. · [N.T., Wesley.] · eng			Wesley
Bible. · [O.T., Psalms., Wheatland and Silvester.] · eng			Wheatland and Silvester
Bible. · [N.T., Whiston.] · eng			Whiston
Bible. · [N.T., Gospels., White.] · Latin and Syriac.			White
Bible. · [O.T., Psalms., Williams.] · eng			Williams
Bible. · [O.T., Psalms., Winchester.] · eng			Winchester
Bible. · [O.T., Psalms., Wither.] · eng			Wither
Bible. · [O.T., Psalms., Woodford.] · eng			Woodford
Bible. · [O.T., Psalms., Wyatt.] · eng			Wyatt
Bible. · [Verse.] · Abridgments. · eng			Verse
Bible. N. T. Gospels. French. 1943			1943
Bible. N. T. Gothic. Selections. 1946			Gothic. 1946
Bible. N. T. Greek. 1943			1943
Bible. O. T. Ecclesiastes. English. 1945. Gordis			Gordis. 1945
Bible.John, Gospel of. Manx.			Gospel of. Manx
Testamentum novum <bulg., kirchenslaw.>.			Kirchenslaw
Psalmboken 1542 Lübeck	1542	Lübeck	
Psalmboken 1548 Stockholm	1548	Stockholm	
Psalmboken 1553 Stockholm	1553	Stockholm	
Psalmboken 1567	1567		
Psalmboken 1567 Stockholm	1567	Stockholm	
Psalmboken 1572	1572		
Psalmboken 1572 Stockholm	1572	Stockholm	
Psalmboken 1580?	1580?		
Psalmboken 1582 Stockholm	1582	Stockholm	
Psalmboken 1586 Lübeck	1586	Lübeck	
Psalmboken 1586 Stockholm	1586	Stockholm	
Psalmboken 1594 Lübeck	1594	Lübeck	
Psalmboken 1601 Stockholm	1601	Stockholm	
Psalmboken 1602 Rostock	1602	Rostock	
Psalmboken 1603 Lübeck	1603	Lübeck	
Psalmboken 1607 Lübeck	1607	Lübeck	
Psalmboken 1607 Stockholm	1607	Stockholm	
Psalmboken 1608 Rostock	1608	Rostock	
Psalmboken 1610 Lübeck	1610	Lübeck	
Psalmboken 1611 Stockholm	1611	Stockholm	
Psalmboken 1613 Stockholm	1613	Stockholm	
Psalmboken 1614 Stockholm	1614	Stockholm	
Psalmboken 1616 Uppsala	1616	Uppsala	
Psalmboken 1622 Lübeck	1622	Lübeck	
