bibid dubblett radera	bibid korrekt post	SPI NR	PostNR
frwdppdtc3tb6hhv	12278474	(SPI)904600	2411
q26p00p5n95ltjf2	2117600	(SPI)904566	2413
x8dw66wmvkwjq0n8	grh78tx6djxgbrwp	(SPI)904431	2425
bns9ll9688718vht	grj6v0n0d7k15rtf	(SPI)904375	2431
q26p00pmn125wt79	jtl8xj0hg0gh4ghb	(SPI)904374	2433
gsxfqqggdqcgwdzq	1682448	(SPI)904219	2437
0bgz8802xvzl9ftg	x70mpqz4vdfl0l2m	(SPI)904208	2441
8lq7jj8d6qqlhczf	8kr4zl846611qz66	(SPI)904207	2443
1ch09917zgs75784	11769962	(SPI)904165	2447
p15nzzqsm6989wfh	12155611	(SPI)903742	2483
3fk2cc481lng3dj4	12155621	(SPI)903741	2485
htzgrrjpf1d32sk9	z80tp9bnw6dc022k	(SPI)903738	2487
t59s33v2r1833dsx	12294390	(SPI)903733	2489
7kp6hh8j5l5z4jdc	4fx69b8r2bp0qjvf	(SPI)903721	2491
lx2kvvmxjfmh112g	4fsw27pp28g0j49t	(SPI)903705	2493
5hm4ff6q3dlls9j2	p0qnnsqzm9kzkp4z	(SPI)903619	2501
htzgrrj3f51kc1zd	cndb9vkf98fs160z	(SPI)903618	2503
v6bt44wjs8mml3t5	hs8q48m3fjxx84sd	(SPI)903615	2507
frwdpphccxq225z3	18106571	(SPI)903439	2519
6jn5gg9040957s4n	09r3m57rxlwgj7b8	(SPI)903071	2599
dqvcnnjhbq6qdmkh	1019891	(SPI)902852	2613
0bgz8845xn83qd1d	2130951	(SPI)902802	2617
w7cv5516tkqw1ptk	190262	(SPI)902708	2623
bns9llgp8w67v9x1	2dgzv96b0gzpk8fn	(SPI)902666	2625
dqvcnnj1bkbt0bq0	3dbjv1qj13wthnkg	(SPI)902485	2635
q26p00vdn2xzx5dm	18667293	(SPI)902474	2637
9mr8kkf27ljmfbc4	8217645	(SPI)902442	2641
frwdppldccc21gvd	523227	(SPI)902334	2651
r37q11xrp3rrdr4h	1bqc0lmjz6zpbrsb	(SPI)902288	2653
kw1jttrhhhqjg45x	11734053	(SPI)901727	2691
z9fx775xw0k15xl4	11556525	(SPI)901640	2693
5hm4ffc13httrgcx	18525863	(SPI)901454	2731
3fk2ccbc1nv57rjs	18520904	(SPI)901296	2749
2dj1bb9n07dwq78s	16413671	(SPI)901059	2763
t59s333rrwvqxn0r	128607	(SPI)900495	2779
5hm4fff53fnnhk38	8181848	(SPI)900347	2781
w7cv555ztzlkcf3r	8391426	(SPI)900296	2785
r37q111zp53k3g8t	q1wpjgxrn2v3vc9k	(SPI)899539	2791
4gl3dddx2rmdmpjf	18100764	(SPI)899291	2817
frwdppp8c4ts0f6b	8j51nj0861tp7swn	(SPI)899290	2819
dqvcnnplbz7zrbd9	lvh7wv1rjmqprsz4	(SPI)899200	2835
bns9llnp86vkv2l9	10237832	(SPI)899167	2875
lx2kvvxbjdfr5n6m	18095645	(SPI)899103	2891
frwdppsfcd3dfmdt	18094875	(SPI)898959	2903
2dj1bbff0qbck6c1	11953666	(SPI)898910	2917
q26p0035nzh5gsvw	18094528	(SPI)898890	2921
dqvcnnrxbs724n4z	18094516	(SPI)898888	2925
1ch099dmzpvslxmx	18094333	(SPI)898886	2929
frwdpps3ckcx353d	18094194	(SPI)898885	2931
w7cv558ltqq30j6q	14227886	(SPI)898884	2933
3fk2cchk17r76pdm	14226466	(SPI)898563	2967
z9fx77ckw44n4s0p	18093678	(SPI)898551	2973
9mr8kkpz7hvchz6c	14226463	(SPI)898549	2975
6jn5ggl04jp66708	gq96dtd3dnk6r562	(SPI)898426	2981
r37q115mp3gr5s9z	14180891	(SPI)898417	2985
v6bt449vsw1wr2pn	18036951	(SPI)898340	2991
7kp6hhn95dq0hgpm	5518909	(SPI)898231	2993
lx2kvv19jztt1h70	745892	(SPI)897892	3021
6jn5ggm1472mzt2s	11630743	(SPI)897740	3027
0bgz88fwxhzgdp9c	13534678	(SPI)897724	3031
r37q117xp3b6xmn9	11193962	(SPI)897561	3041
kw1jtt1vhc5fb9qt	21881069	(SPI)897476	3047
w7cv55cdtm9ppf9w	11883452	(SPI)897396	3057
mz3lww39kwnt3g95	jsfzlr6zg9whkb03	(SPI)897365	3063
w7cv55clt8cvfmf2	22067467	(SPI)897343	3065
htzgrrzdfm7q8067	14180551	(SPI)897285	3073
r37q118ppj67p40b	14180548	(SPI)897282	3075
2dj1bbk2046tjz23	14180547	(SPI)897281	3077
4gl3ddmk2bkg1n7f	18035138	(SPI)897103	3097
cptbmmvv9tp4dprm	21994479	(SPI)897096	3101
n04mxx56l5lv0gvw	9k6xc8gv7btvprbc	(SPI)897080	3103
t59s33bhrst8jn2x	21864734	(SPI)896970	3109
0bgz88htxwd5mj23	18029742	(SPI)896794	3117
9mr8kks67nlshgkh	14178899	(SPI)896793	3119
t59s33csrmq4twsr	14178821	(SPI)896770	3123
3fk2ccm413nqgrhc	14178835	(SPI)896769	3125
w7cv55f1t29mzgtp	14178797	(SPI)896764	3131
7kp6hhrh5wz0zplg	w5rzhz62tqp9cxq7	(SPI)896733	3135
x8dw66g8v1h3vmqc	18030039	(SPI)896727	3139
htzgrr1bf726q82x	18028800	(SPI)896379	3161
3fk2ccn615j9qwqp	19482043	(SPI)896291	3171
x8dw66h3vjgdg7tp	18028561	(SPI)896277	3175
w7cv55g4t8nw5m0n	18028735	(SPI)896276	3177
gsxfqq1xdn5737td	738506	(SPI)896204	3187
5hm4ffqq3mct0l54	bm0hnwls8bd1h7wk	(SPI)896176	3191
9mr8kkwg7f4l6m5f	v5szlrhfs0b177g1	(SPI)895857	3217
dqvcnn0pbh25fxpm	s2ncmvh9q3s06cm9	(SPI)895844	3223
1ch099mtzfpdtscd	3cz37hhj1fzwnf1t	(SPI)895809	3245
9mr8kkw571gc720g	2507408	(SPI)895803	3247
kw1jtt5ghnwzd5j9	8176989	(SPI)895802	3249
p15nzzbxmh4hr2xh	10966818	(SPI)895502	3265
0bgz88m8xxx8qdst	8240088	(SPI)895499	3267
6jn5ggtj4f8vrj2p	nzbtsqzxlxbfrmkw	(SPI)895498	3269
mz3lww81kfshd4s8	8240087	(SPI)895496	3273
p15nzzb6mj0p80x8	353977	(SPI)895455	3277
0bgz88mjxm6p5ldb	736896	(SPI)895428	3279
6jn5ggts4kkxgdn5	736892	(SPI)895427	3281
htzgrr44fvw7t8n2	10863747	(SPI)895420	3283
4gl3ddrv2db1sh68	3748146	(SPI)895416	3287
z9fx77lsw2fthv46	13921554	(SPI)895319	3293
dqvcnn2bb89v9hck	11617944	(SPI)895296	3297
t59s33htr4nwvzgp	hs62mjfqftrm1fv3	(SPI)895222	3301
kw1jtt7qhtdwglb1	nz0v0kt8l3jvh0dh	(SPI)895197	3307
mz3lww9bkn1g8hcl	9472299	(SPI)894987	3329
7kp6hhw152jh90xk	mwc93bl9k1k2l9vq	(SPI)894950	3333
r37q11g7pcv663qf	hs8919gtfrwblcrg	(SPI)894584	3361
6jn5ggwq4j6jw42t	z7ns59t6wwfmww4j	(SPI)894579	3363
0bgz88prxmmz7vp6	13567165	(SPI)894516	3375
8lq7jj0b63z5mzvm	8jxjw4w06h4455mk	(SPI)894283	3387
jv0hss8tgg5zp6z0	2525302	(SPI)894178	3397
jv0hss8zgvhx7hw2	13868156	(SPI)894158	3403
2dj1bbsl07p9bd5w	8770327	(SPI)894147	3407
dqvcnn47b4zmmqm1	13867468	(SPI)894061	3421
w7cv55nvt0r7vdmn	13867342	(SPI)893975	3427
x8dw66p4vq3c5k8f	13624924	(SPI)893888	3435
9mr8kk2k7692kl86	13624823	(SPI)893847	3437
z9fx77q9wbzkkwd8	10591109	(SPI)893839	3441
2dj1bbtj0krpr97f	13588654	(SPI)893764	3445
bns9ll3v8prqqh2b	13588642	(SPI)893762	3447
4gl3ddwx2gh4mmz5	12125452	(SPI)893687	3459
cptbmm46985f5jdr	1569721	(SPI)893679	3461
n04mxxg2lwcr3jm4	nxcs23m1lv5zg7p1	(SPI)893446	3487
x8dw66qcvw3g8fv8	gqtdnds6dtsq4h2h	(SPI)893445	3489
lx2kvvd9jq2nbt28	13587621	(SPI)893388	3501
jv0hssbdg2sj6h1w	11325165	(SPI)893374	3507
4gl3ddz32zj4kwbr	8176438	(SPI)893329	3511
gsxfqq9gdhp05qb1	5ft1pxtm3cvvp0sq	(SPI)893326	3513
3fk2ccx0126khd45	13587486	(SPI)893042	3553
9mr8kk5772t5q00l	13587492	(SPI)893041	3555
t59s33ptrf0t6tvv	11693909	(SPI)892999	3559
gsxfqqbkdvfng1vj	pzdjb686mmph744d	(SPI)892919	3563
5hm4ff1g35z37sq5	11925958	(SPI)892789	3571
9mr8kk557ptd3vmd	11729638	(SPI)892598	3597
n04mxxkql3px719n	1911073	(SPI)892529	3607
dqvcnn9lb20fl01f	12085037	(SPI)892476	3613
r37q11n0plrlfgsm	13515907	(SPI)892456	3615
0bgz88wdx09tjmr8	16422677	(SPI)892408	3623
4gl3dd1n25tpn7c1	13496375	(SPI)892386	3627
kw1jttg5h43g9nw8	13516713	(SPI)892327	3631
9mr8kk627j1kr8np	648298	(SPI)892261	3637
mz3lwxkkkfz88cl9	13485967	(SPI)892188	3645
5hm4fg353j93hw93	14804008	(SPI)892163	3647
jv0hstgkgs5nhl5d	13455486	(SPI)892153	3649
s48r23qvqcn18zzs	713777	(SPI)892140	3651
frwdpqclcdw51s5z	mw83khnbkk6x8mm9	(SPI)892101	3655
r37q12pzpjw7rv3h	1716515	(SPI)892097	3657
1ch09bz8zsw2n4bf	hr4tbglffsf7ztp8	(SPI)892012	3659
5hm4fg3l3jlsjc7b	20706275	(SPI)891920	3667
2dj1bc0p0vv9q386	13454908	(SPI)891864	3675
bns9lm80877t5h72	8176009	(SPI)891839	3677
htzgrsf6frb7vltq	713298	(SPI)891823	3679
p15nz0mfmxvmxrjf	753841	(SPI)891790	3681
r37q12plp9njjfkr	13450449	(SPI)891769	3685
1ch09bzwzgkppj6q	s2cl2tjsqwdqjhsr	(SPI)891636	3687
6jn5gh5x4vj14k59	s2bnvj8tqnkd4lfp	(SPI)891318	3723
frwdpqd6c7w163dw	22365530	(SPI)891307	3725
w7cv56wnt81s4c04	9l2rpqxc759gpcdn	(SPI)891088	3773
w7cv56x0tk823cb4	11720419	(SPI)891052	3787
htzgrsj4fttqwxbv	q1n2bl9nnl9dgflw	(SPI)890818	3811
q26p01rdnm1631t5	1bzcmk24zxcslmzz	(SPI)890817	3813
