SAB	Översättning
Kpg.57	Historia: Nordöstafrika: 1900-talet
Kpg.58(p)	Historia: Nordöstafrika: 1980-: periodika
Kpg.58	Historia: Nordöstafrika: 1980-
Kpg.6	Historia: Nordöstafrika: 2000-
Kpga(p)	Historia: Etiopien med Eritrea: periodika
Kpga(x)	Historia: Etiopien med Eritrea: lexikon
Kpga	Historia: Etiopien med Eritrea
Kpga:a	Historia: Etiopien med Eritrea: bibliografi
Kpga.2	Historia: Etiopien med Eritrea: före ca 640
Kpga.3	Historia: Etiopien med Eritrea: ca 640 - ca 1500
Kpga.4	Historia: Etiopien med Eritrea: 1500-
Kpga.46(u)	Historia: Etiopien med Eritrea: 1800-talet: urkunder, lagar
Kpga.46	Historia: Etiopien med Eritrea: 1800-talet
Kpga.5	Historia: Etiopien med Eritrea: 1896-
Kpga.52	Historia: Etiopien med Eritrea: mellankrigstiden 1918-1939
Kpga.55(p)	Historia: Etiopien med Eritrea: 1945-: periodika
Kpga.55	Historia: Etiopien med Eritrea: 1945-
Kpga.56	Historia: Etiopien med Eritrea: 1960-
Kpga.57	Historia: Etiopien med Eritrea: 1974-
Kpga.6	Historia: Etiopien med Eritrea: 2000-
Kpgae(p)	Historia: Eritrea: periodika
Kpgae	Historia: Eritrea
Kpgae.5	Historia: Eritrea: 1896-
Kpgae.57	Historia: Eritrea: 1974-
Kpgae.58(p)	Historia: Eritrea: 1980-: periodika
Kpgae.58	Historia: Eritrea: 1980-
Kpgae.6	Historia: Eritrea: 2000-
Kpgb(p)	Historia: Somalia: periodika
Kpgb	Historia: Somalia
Kpgb.5	Historia: Somalia: 1900-talet
Kpgb.55	Historia: Somalia: 1945-
Kpgb.56	Historia: Somalia: 1960-
Kpgb.58	Historia: Somalia: 1980-
Kpgb.59	Historia: Somalia: 1990-
Kpgb.6	Historia: Somalia: 2000-
Kpgc	Historia: Djibouti
Kpgc.55	Historia: Djibouti: 1945-
Kpgc.6	Historia: Djibouti: 2000-
Kpx	Historia: Afrikaner i utlandet
Kpx-c	Historia: Afrikaner i utlandet: Sverige
Kpx-e	Historia: Afrikaner i utlandet: Brittiska öarna (Storbritannien)
Kpx-fa	Historia: Afrikaner i utlandet: Tyskland
Kpx-j	Historia: Afrikaner i utlandet: Frankrike
Kq(k)	Historia: Amerika: kongresstryck
Kq(p)	Historia: Amerika: periodika
Kq(u)	Historia: Amerika: urkunder, lagar
Kq(x)	Historia: Amerika: lexikon
Kq(ya)	Historia: Amerika: kartor
Kq	Historia: Amerika
Kq,u	Historia: Amerika: för barn och ungdom
Kq:a	Historia: Amerika: bibliografi
Kq:a	Historia: Amerika: bibliografi
Kq:k	Historia: Amerika: historieforskning
Kq:oi	Historia: Amerika: statistik
Kq.3	Historia: Amerika: medeltiden
Kq.4	Historia: Amerika: nya tiden
Kq.41(u)	Historia: Amerika: 1500-1648: urkunder, lagar
Kq.41	Historia: Amerika: 1500-1648
Kq.43	Historia: Amerika: 1648-1789
Kq.5(p)	Historia: Amerika: 1914-: periodika
Kq.5(x)	Historia: Amerika: 1914-: lexikon
Kq.5	Historia: Amerika: 1914-
Kq.55	Historia: Amerika: 1945-
Kq.6	Historia: Amerika: 2000-
Kq-qb	Historia: Amerika: Kanada
Kqa(k)	Historia: Förenta staterna: kongresstryck
Kqa(p)	Historia: Förenta staterna: periodika
Kqa(p)/DR	Historia: Förenta staterna: periodika: fjärråtkomst
Kqa(u)	Historia: Förenta staterna: urkunder, lagar
Kqa(x)	Historia: Förenta staterna: lexikon
Kqa(ya)	Historia: Förenta staterna: kartor
Kqa	Historia: Förenta staterna
Kqa	Historia: Förenta staterna
Kqa,u	Historia: Förenta staterna: för barn och ungdom
Kqa:a	Historia: Förenta staterna: bibliografi
Kqa:bf	Historia: Förenta staterna: institutioner
Kqa:k	Historia: Förenta staterna: historieforskning
Kqa:k.5	Historia: Förenta staterna: historia: 1914-
Kqa:k.55	Historia: Förenta staterna: historia: 1945-
Kqa:k.6	Historia: Förenta staterna: historia: 2000-
Kqa:oi	Historia: Förenta staterna: statistik
Kqa.4(k)	Historia: Förenta staterna: Nordamerika under nya tiden: kongresstryck
Kqa.4(u)	Historia: Förenta staterna: Nordamerika under nya tiden: urkunder, lagar
Kqa.4	Historia: Förenta staterna: Nordamerika under nya tiden
Kqa.41(k)	Historia: Förenta staterna: Nordamerika före 1789: kongresstryck
Kqa.41(u)	Historia: Förenta staterna: Nordamerika före 1789: urkunder, lagar
Kqa.41(yb)	Historia: Förenta staterna: Nordamerika före 1789: bilder
Kqa.41	Historia: Förenta staterna: Nordamerika före 1789
Kqa.41,u	Historia: Förenta staterna: Nordamerika före 1789: för barn och ungdom
Kqa.41:a	Historia: Förenta staterna: Nordamerika före 1789: bibliografi
Kqa.41:k	Historia: Förenta staterna: Nordamerika före 1789: historieforskning
Kqa.44	Historia: Förenta staterna: nya tiden
Kqa.46(u)	Historia: Förenta staterna: 1789-1865: urkunder, lagar
Kqa.46(x)	Historia: Förenta staterna: 1789-1865: lexikon
Kqa.46	Historia: Förenta staterna: 1789-1865
Kqa.46:a	Historia: Förenta staterna: 1789-1865: bibliografi
Kqa.47(u)	Historia: Förenta staterna: 1865-1914: urkunder, lagar
Kqa.47	Historia: Förenta staterna: 1865-1914
Kqa.47	Historia: Förenta staterna: 1865-1914
Kqa.5(u)	Historia: Förenta staterna: 1900-talet: urkunder, lagar
Kqa.5(x)	Historia: Förenta staterna: 1900-talet: lexikon
Kqa.5	Historia: Förenta staterna: 1900-talet
Kqa.5	Historia: Förenta staterna: 1900-talet
Kqa.51	Historia: Förenta staterna: första världskriget 1914-1918
Kqa.52	Historia: Förenta staterna: mellankrigstiden 1918-1939
Kqa.54	Historia: Förenta staterna: andra världskriget 1939-1945
Kqa.54:k	Historia: Förenta staterna: andra världskriget 1939-1945: historieforskning
Kqa.55(p)	Historia: Förenta staterna: 1945-: periodika
Kqa.55(u)	Historia: Förenta staterna: 1945-: urkunder, lagar
Kqa.55	Historia: Förenta staterna: 1945-
Kqa.55	Historia: Förenta staterna: 1945-
Kqa.55:k	Historia: Förenta staterna: 1945-: historieforskning
Kqa.57	Historia: Förenta staterna: 1975-
Kqa.57/LC	Historia: Förenta staterna: 1975-: CD
Kqa.59	Historia: Förenta staterna: 1990-
Kqa.6	Historia: Förenta staterna: 2000-
Kqaa	Historia: Nordöstra staterna
Kqaa.41	Historia: Nordöstra staterna: före 1789
Kqaa.47	Historia: Nordöstra staterna: 1865-1914
Kqaad.41	Historia: Massachusetts: före 1789
Kqaag.46	Historia: New York: 1789-1865
Kqab.4	Historia: Sydöstra staterna: nya tiden
Kqab.47	Historia: Sydöstra staterna: 1865-1914
Kqab.5	Historia: Sydöstra staterna: 1900-talet
Kqab.6	Historia: Sydöstra staterna: 2000-
Kqaba.4	Historia: Delaware: nya tiden
Kqabe	Historia: Virginia
Kqabg.4	Historia: South Carolina: nya tiden
Kqabg.47	Historia: South Carolina: 1865-1914
Kqabi	Historia: Florida
Kqac	Historia: Södra centralstaterna
Kqac.4	Historia: Södra centralstaterna: nya tiden
Kqac.47	Historia: Södra centralstaterna: 1865-1914
Kqac.5	Historia: Södra centralstaterna: 1900-talet
Kqac.6	Historia: Södra centralstaterna: 2000-
Kqacc.46	Historia: Louisiana: 1789-1865
Kqacc.47	Historia: Louisiana: 1865-1914
Kqacd.47	Historia: Texas: 1865-1914
Kqadd.46	Historia: Michigan: 1789-1865
Kqae.46	Historia: Bergsstaterna: 1789-1865
Kqae.47	Historia: Bergsstaterna: 1865-1914
Kqae.5	Historia: Bergsstaterna: 1900-talet
Kqae.6	Historia: Bergsstaterna: 2000-
Kqaec	Historia: South Dakota
Kqaec.52	Historia: South Dakota: mellankrigstiden 1918-1939
Kqaec.54	Historia: South Dakota: andra världskriget 1939-1945
Kqaec.6	Historia: South Dakota: 2000-
Kqaf	Historia: Stillahavsstaterna
Kqaf.55	Historia: Stillahavsstaterna: 1945-
Kqaf.6	Historia: Stillahavsstaterna: 2000-
Kqafd	Historia: Kalifornien
Kqafd.47	Historia: Kalifornien: 1865-1914
Kqafd.5	Historia: Kalifornien: 1900-talet
Kqafd.6	Historia: Kalifornien: 2000-
Kqafh.4	Historia: Alaska: nya tiden
Kqafh.5	Historia: Alaska: 1900-talet
Kqafh.6	Historia: Alaska: 2000-
Kqat(k)	Historia: indianerna i Nordamerika: kongresstryck
Kqat(p)	Historia: indianerna i Nordamerika: periodika
Kqat(u)	Historia: indianerna i Nordamerika: urkunder, lagar
Kqat(x)	Historia: indianerna i Nordamerika: lexikon
Kqat	Historia: indianerna i Nordamerika
Kqat,u	Historia: indianerna i Nordamerika: för barn och ungdom
Kqat:a	Historia: indianerna i Nordamerika: bibliografi
Kqat:k	Historia: indianerna i Nordamerika: historieforskning
Kqat:k.5	Historia: indianerna i Nordamerika: historia: 1914-
Kqat.4(k)	Historia: indianerna i Nordamerika: Nordamerika under nya tiden: kongresstryck
Kqat.4	Historia: indianerna i Nordamerika: Nordamerika under nya tiden
Kqat.41	Historia: indianerna i Nordamerika: Nordamerika före 1789
Kqat.46	Historia: indianerna i Nordamerika: 1789-1865
Kqat.47	Historia: indianerna i Nordamerika: 1865-1914
Kqat.5	Historia: indianerna i Nordamerika: 1900-talet
Kqat.52	Historia: indianerna i Nordamerika: mellankrigstiden 1918-1939
Kqat.54	Historia: indianerna i Nordamerika: andra världskriget 1939-1945
Kqat.55	Historia: indianerna i Nordamerika: 1945-
Kqat.57	Historia: indianerna i Nordamerika: 1975-
Kqat.6	Historia: indianerna i Nordamerika: 2000-
Kqau(t)	Historia: rasfrågan i Förenta staterna: tabeller
Kqau(u)	Historia: rasfrågan i Förenta staterna: urkunder, lagar
Kqau(x)	Historia: rasfrågan i Förenta staterna: lexikon
Kqau	Historia: rasfrågan i Förenta staterna
Kqau	Historia: rasfrågan i Förenta staterna
Kqau:k	Historia: rasfrågan i Förenta staterna: historieforskning
Kqau.4	Historia: rasfrågan i Förenta staterna: Nordamerika under nya tiden
Kqau.41	Historia: rasfrågan i Förenta staterna: Nordamerika före 1789
Kqau.46	Historia: rasfrågan i Förenta staterna: 1789-1865
Kqau.47(x)	Historia: rasfrågan i Förenta staterna: 1865-1914: lexikon
Kqau.47	Historia: rasfrågan i Förenta staterna: 1865-1914
Kqau.5(x)	Historia: rasfrågan i Förenta staterna: 1900-talet: lexikon
Kqau.5	Historia: rasfrågan i Förenta staterna: 1900-talet
Kqau.51	Historia: rasfrågan i Förenta staterna: första världskriget 1914-1918
Kqau.52	Historia: rasfrågan i Förenta staterna: mellankrigstiden 1918-1939
Kqau.54	Historia: rasfrågan i Förenta staterna: andra världskriget 1939-1945
Kqau.55(k)	Historia: rasfrågan i Förenta staterna: 1945-: kongresstryck
Kqau.55	Historia: rasfrågan i Förenta staterna: 1945-
Kqau.57	Historia: rasfrågan i Förenta staterna: 1975-
Kqau.6	Historia: rasfrågan i Förenta staterna: 2000-
Kqax	Historia: amerikaner i utlandet
Kqax.47	Historia: amerikaner i utlandet: 1865-1914
Kqax-a.5	Historia: amerikaner i utlandet: Europa: 1914-
Kqax-a.6	Historia: amerikaner i utlandet: Europa: 2000-
Kqax-c	Historia: amerikaner i utlandet: Sverige
Kqax-da.55	Historia: amerikaner i utlandet: Danmark: 1945-
Kqax-da.6	Historia: amerikaner i utlandet: Danmark: 2000-
Kqax-e.47	Historia: amerikaner i utlandet: Brittiska öarna (Storbritannien): 1865-1914
Kqax-fa	Historia: amerikaner i utlandet: Tyskland
Kqax-fa.47	Historia: amerikaner i utlandet: Tyskland: 1870-1918
Kqax-fb.55	Historia: amerikaner i utlandet: Österrike: 1945-
Kqax-fb.6	Historia: amerikaner i utlandet: Österrike: 2000-
Kqax-j.5	Historia: amerikaner i utlandet: Frankrike: 1914-
Kqax-j.55	Historia: amerikaner i utlandet: Frankrike: 1945-
Kqax-j.6	Historia: amerikaner i utlandet: Frankrike: 2000-
Kqax-jz	Historia: amerikaner i utlandet: Frankrike: särskilda orter
Kqax-o.55	Historia: amerikaner i utlandet: Asien: 1945-
Kqax-o.6	Historia: amerikaner i utlandet: Asien: 2000-
Kqax-oa.47	Historia: amerikaner i utlandet: Främre Asien: 1865-1914
Kqax-oa.5	Historia: amerikaner i utlandet: Främre Asien: 1914-
Kqax-oa.6	Historia: amerikaner i utlandet: Främre Asien: 2000-
Kqax-ocdc	Historia: amerikaner i utlandet: Vietnam
Kqax-odc	Historia: amerikaner i utlandet: Filippinerna
Kqax-oe	Historia: amerikaner i utlandet: Östasien
Kqax-oea	Historia: amerikaner i utlandet: Kina
Kqax-qdd.55	Historia: amerikaner i utlandet: Brasilien: 1945-
Kqax-qdd.6	Historia: amerikaner i utlandet: Brasilien: 2000-
Kqb(p)	Historia: Kanada: periodika
Kqb(x)	Historia: Kanada: lexikon
Kqb	Historia: Kanada
Kqb	Historia: Kanada
Kqb:a	Historia: Kanada: bibliografi
Kqb:k.5	Historia: Kanada: historia: 1914-
Kqb.4(u)	Historia: Kanada: nya tiden: urkunder, lagar
Kqb.4	Historia: Kanada: nya tiden
Kqb.46	Historia: Kanada: 1815-1914
Kqb.5(u)	Historia: Kanada: 1914-: urkunder, lagar
Kqb.5	Historia: Kanada: 1914-
Kqb.51	Historia: Kanada: första världskriget 1914-1918
Kqb.52	Historia: Kanada: mellankrigstiden 1918-1939
Kqb.54	Historia: Kanada: andra världskriget 1939-1945
Kqb.55	Historia: Kanada: 1945-
Kqb.55:a	Historia: Kanada: 1945-: bibliografi
Kqb.59	Historia: Kanada: 1990-
Kqb.6	Historia: Kanada: 2000-
Kqbchbö.5	Historia: Prince Edward Island: 1914-
Kqbchbö.6	Historia: Prince Edward Island: 2000-
Kqbf	Historia: Québec
Kqbg.2	Historia: Ontario: forntiden
Kqc(k)	Historia: Mexiko, Centralamerika och Västindien: kongresstryck
Kqc(p)	Historia: Mexiko, Centralamerika och Västindien: periodika
Kqc(u)	Historia: Mexiko, Centralamerika och Västindien: urkunder, lagar
Kqc(x)	Historia: Mexiko, Centralamerika och Västindien: lexikon
Kqc(ya)	Historia: Mexiko, Centralamerika och Västindien: kartor
Kqc	Historia: Mexiko, Centralamerika och Västindien
Kqc	Historia: Mexiko, Centralamerika och Västindien
Kqc,u	Historia: Mexiko, Centralamerika och Västindien: för barn och ungdom
Kqc:a	Historia: Mexiko, Centralamerika och Västindien: bibliografi
Kqc:a	Historia: Mexiko, Centralamerika och Västindien: bibliografi
Kqc.2	Historia: Mexiko, Centralamerika och Västindien: forntiden
Kqc.3(x)	Historia: Mexiko, Centralamerika och Västindien: före 1492: lexikon
Kqc.3	Historia: Mexiko, Centralamerika och Västindien: före 1492
Kqc.4(u)	Historia: Mexiko, Centralamerika och Västindien: 1492-: urkunder, lagar
Kqc.4(x)	Historia: Mexiko, Centralamerika och Västindien: 1492-: lexikon
Kqc.4	Historia: Mexiko, Centralamerika och Västindien: 1492-
Kqc.41	Historia: Mexiko, Centralamerika och Västindien: 1500-1648
Kqc.45	Historia: Mexiko, Centralamerika och Västindien: 1789-1815
Kqc.46	Historia: Mexiko, Centralamerika och Västindien: 1821-
Kqc.5	Historia: Mexiko, Centralamerika och Västindien: 1900-talet
Kqc.5	Historia: Mexiko, Centralamerika och Västindien: 1900-talet
Kqc.5:a	Historia: Mexiko, Centralamerika och Västindien: 1900-talet: bibliografi
Kqc.51	Historia: Mexiko, Centralamerika och Västindien: första världskriget 1914-1918
Kqc.52	Historia: Mexiko, Centralamerika och Västindien: mellankrigstiden 1918-1939
Kqc.55	Historia: Mexiko, Centralamerika och Västindien: 1945-
Kqc.55	Historia: Mexiko, Centralamerika och Västindien: 1945-
Kqc.57	Historia: Mexiko, Centralamerika och Västindien: 1900-talet
Kqc.58	Historia: Mexiko, Centralamerika och Västindien: 1980-
Kqc.59	Historia: Mexiko, Centralamerika och Västindien: 1990-
Kqc.6	Historia: Mexiko, Centralamerika och Västindien: 2000-
Kqca(p)	Historia: Mexiko: periodika
Kqca(u)	Historia: Mexiko: urkunder, lagar
Kqca(x)	Historia: Mexiko: lexikon
Kqca	Historia: Mexiko
Kqca:k	Historia: Mexiko: historieforskning
Kqca:k.4	Historia: Mexiko: historia: 1492-
Kqca.3	Historia: Mexiko: före 1492
Kqca.3:k	Historia: Mexiko: före 1492: historieforskning
Kqca.4	Historia: Mexiko: 1492-
Kqca.4	Historia: Mexiko: 1492-
Kqca.41	Historia: Mexiko: 1500-1648
Kqca.41:k	Historia: Mexiko: 1500-1648: historieforskning
Kqca.43	Historia: Mexiko: 1648-1789
Kqca.45	Historia: Mexiko: 1789-1815
Kqca.46	Historia: Mexiko: 1823-1911
Kqca.5(k)	Historia: Mexiko: 1911-: kongresstryck
Kqca.5	Historia: Mexiko: 1911-
Kqca.51	Historia: Mexiko: första världskriget 1914-1918
Kqca.52	Historia: Mexiko: mellankrigstiden 1918-1939
Kqca.54	Historia: Mexiko: andra världskriget 1939-1945
Kqca.55	Historia: Mexiko: 1945-
Kqca.58	Historia: Mexiko: 1980-
Kqca.59(u)	Historia: Mexiko: 1990-: urkunder, lagar
Kqca.59	Historia: Mexiko: 1990-
Kqca.6	Historia: Mexiko: 2000-
Kqcax-qa	Historia: Mexikaner i utlandet: Förenta staterna
Kqcax-qa.55	Historia: Mexikaner i utlandet: Förenta staterna: 1945-
Kqcax-qa.6	Historia: Mexikaner i utlandet: Förenta staterna: 2000-
Kqcax-qafa	Historia: Mexikaner i utlandet: Arizona
Kqcax-qafd	Historia: Mexikaner i utlandet: Kalifornien
Kqcb(p)	Historia: Guatemala: periodika
Kqcb	Historia: Guatemala
Kqcb	Historia: Guatemala
Kqcb.5	Historia: Guatemala: 1900-talet
Kqcb.55	Historia: Guatemala: 1945-
Kqcb.55	Historia: Guatemala: 1945-
Kqcb.58	Historia: Guatemala: 1980-
Kqcb.59	Historia: Guatemala: 1990-
Kqcb.6	Historia: Guatemala: 2000-
Kqcc(x)	Historia: Belize och Honduras: lexikon
Kqcc	Historia: Belize och Honduras
Kqcc.4	Historia: Belize och Honduras: 1492-
Kqccb.46	Historia: Honduras: 1821-
Kqccb.5	Historia: Honduras: 1900-talet
Kqccb.58	Historia: Honduras: 1980-
Kqccb.6	Historia: Honduras: 2000-
Kqcd	Historia: El Salvador
Kqcd.46	Historia: El Salvador: 1821-
Kqcd.5	Historia: El Salvador: 1900-talet
Kqcd.52	Historia: El Salvador: mellankrigstiden 1918-1939
Kqcd.55	Historia: El Salvador: 1945-
Kqcd.57	Historia: El Salvador: 1900-talet
Kqcd.58(u)	Historia: El Salvador: 1980-: urkunder, lagar
Kqcd.58	Historia: El Salvador: 1980-
Kqcd.6	Historia: El Salvador: 2000-
Kqcdx-qa	Historia: El Salvador: emigration, utland: Förenta staterna
Kqcdz	Historia: El Salvador: särskilda orter
Kqce	Historia: Nicaragua
Kqce.4	Historia: Nicaragua: 1492-
Kqce.46	Historia: Nicaragua: 1821-
Kqce.5	Historia: Nicaragua: 1900-talet
Kqce.55(p)	Historia: Nicaragua: 1945-: periodika
Kqce.55	Historia: Nicaragua: 1945-
Kqce.57	Historia: Nicaragua: 1900-talet
Kqce.58	Historia: Nicaragua: 1979-
Kqce.59	Historia: Nicaragua: 1990-
Kqce.6	Historia: Nicaragua: 2000-
Kqcf	Historia: Costa Rica
Kqcf.46	Historia: Costa Rica: 1821-
Kqcg(x)	Historia: Panama: lexikon
Kqcg	Historia: Panama
Kqcg.5	Historia: Panama: 1903-
Kqcg.55	Historia: Panama: 1945-
Kqcg.6	Historia: Panama: 2000-
Kqch	Historia: Västindien
Kqch:k	Historia: Västindien: historieforskning
Kqch.4	Historia: Västindien: 1492-
Kqch.4:k	Historia: Västindien: 1492-: historieforskning
Kqch.5	Historia: Västindien: 1900-talet
Kqch.57	Historia: Västindien: 1900-talet
Kqch.58	Historia: Västindien: 1980-
Kqch.59	Historia: Västindien: 1990-
Kqch.6	Historia: Västindien: 2000-
Kqcha	Historia: Stora Antillerna
Kqcha.4	Historia: Stora Antillerna: 1492-
Kqcha.5	Historia: Stora Antillerna: 1898-
Kqcha.55	Historia: Stora Antillerna: 1945-
Kqcha.6	Historia: Stora Antillerna: 2000-
Kqchaa(p)	Historia: Kuba: periodika
Kqchaa	Historia: Kuba
Kqchaa	Historia: Kuba
Kqchaa.4	Historia: Kuba: 1492-
Kqchaa.46	Historia: Kuba: 1822-
Kqchaa.5	Historia: Kuba: 1898-
Kqchaa.52	Historia: Kuba: mellankrigstiden 1918-1939
Kqchaa.55(u)	Historia: Kuba: 1945-: urkunder, lagar
Kqchaa.55	Historia: Kuba: 1945-
Kqchaa.56(k)	Historia: Kuba: 1959-: kongresstryck
Kqchaa.56	Historia: Kuba: 1959-
Kqchaa.56:b(k)	Historia: Kuba: 1959-: forskning: kongresstryck
Kqchaa.57	Historia: Kuba: 1900-talet
Kqchaa.59	Historia: Kuba: 1990-
Kqchaa.6	Historia: Kuba: 2000-
Kqchaax-qa	Historia: Kubaner i utlandet: Förenta staterna
Kqchaax-qa.56	Historia: Kubaner i utlandet: Förenta staterna: 1959-
Kqchaax-qa.58	Historia: Kubaner i utlandet: Förenta staterna: 1980-
Kqchaax-qa.6	Historia: Kubaner i utlandet: Förenta staterna: 2000-
Kqchaaz	Historia: Kuba: särskilda orter
Kqchab	Historia: Haiti
Kqchab.4	Historia: Haiti: 1492-
Kqchab.46	Historia: Haiti: 1822-
Kqchab.5	Historia: Haiti: 1898-
Kqchab.51	Historia: Haiti: första världskriget 1914-1918
Kqchab.58	Historia: Haiti: 1980-
Kqchab.59	Historia: Haiti: 1990-
Kqchab.6	Historia: Haiti: 2000-
Kqchac	Historia: Dominikanska republiken
Kqchac.4	Historia: Dominikanska republiken: 1492-
Kqchac.5	Historia: Dominikanska republiken: 1898-
Kqchac.55	Historia: Dominikanska republiken: 1945-
Kqchac.6	Historia: Dominikanska republiken: 2000-
Kqchad	Historia: Puerto Rico
Kqchad.4	Historia: Puerto Rico: 1492-
Kqchad.5	Historia: Puerto Rico: 1898-
Kqchad.6	Historia: Puerto Rico: 2000-
Kqchadx-qa	Historia: Puerto Ricaner i utlandet: Förenta staterna
Kqchae	Historia: Jamaica
Kqchae.5	Historia: Jamaica: 1898-
Kqchae.52	Historia: Jamaica: mellankrigstiden 1918-1939
Kqchae.55	Historia: Jamaica: 1945-
Kqchae.56	Historia: Jamaica: 1959-
Kqchae.6	Historia: Jamaica: 2000-
Kqchaex-e	Historia: Jamaica: emigration, utland: Brittiska öarna (Storbritannien)
Kqchb(p)	Historia: Små Antillerna: periodika
Kqchb	Historia: Små Antillerna
Kqchb.55	Historia: Små Antillerna: 1945-
Kqchb.6	Historia: Små Antillerna: 2000-
Kqchba	Historia: Trinidad och Tobago
Kqchbb.46	Historia: Barbados: 1821-
Kqchbm	Historia: Grenada
Kqchbö	Historia: Övriga öar
Kqchbö.4	Historia: Övriga öar: 1492-
Kqchböz	Historia: Övriga öar: särskilda orter
Kqchx-e	Historia: Västindier i utlandet: Brittiska öarna (Storbritannien)
Kqcq.58	Historia: Mexiko, Centralamerika och Västindien: 1980-
Kqcq.6	Historia: Mexiko, Centralamerika och Västindien: 2000-
Kqct(k)	Historia: indianerna i Centralamerika: kongresstryck
Kqct(u)	Historia: indianerna i Centralamerika: urkunder, lagar
Kqct	Historia: indianerna i Centralamerika
Kqct:k	Historia: indianerna i Centralamerika: historieforskning
Kqct.2	Historia: indianerna i Centralamerika: forntiden
Kqct.4	Historia: indianerna i Centralamerika: 1492-
Kqct.41	Historia: indianerna i Centralamerika: 1500-1648
Kqct.55	Historia: indianerna i Centralamerika: 1945-
Kqct.58	Historia: indianerna i Centralamerika: 1980-
Kqct.59	Historia: indianerna i Centralamerika: 1990-
Kqct.6	Historia: indianerna i Centralamerika: 2000-
Kqcx	Historia: Mexiko, Centralamerika och Västindien: emigration, utland
Kqcx-qa	Historia: Mexiko, Centralamerika och Västindien: emigration, utland: Förenta staterna
Kqd(k)	Historia: Sydamerika: kongresstryck
Kqd(p)	Historia: Sydamerika: periodika
Kqd(s)	Historia: Sydamerika: samlingsverk
Kqd(u)	Historia: Sydamerika: urkunder, lagar
Kqd(u)	Historia: Sydamerika: urkunder, lagar
Kqd(x)	Historia: Sydamerika: lexikon
Kqd(ya)	Historia: Sydamerika: kartor
Kqd	Historia: Sydamerika
Kqd	Historia: Sydamerika
Kqd:a	Historia: Sydamerika: bibliografi
Kqd:k	Historia: Sydamerika: historieforskning
Kqd:k.47	Historia: Sydamerika: historia: nya tiden
Kqd:k.5	Historia: Sydamerika: historia: 1914-
Kqd:k.6	Historia: Sydamerika: historia: 2000-
Kqd:ke.55	Historia: Sydamerika: historia: Brittiska öarna (Storbritannien): 1945-
Kqd:ke.6	Historia: Sydamerika: historia: Brittiska öarna (Storbritannien): 2000-
Kqd.4(p)	Historia: Sydamerika: 1500-: periodika
Kqd.4(u)	Historia: Sydamerika: 1500-: urkunder, lagar
Kqd.4(x)	Historia: Sydamerika: 1500-: lexikon
Kqd.4	Historia: Sydamerika: 1500-
Kqd.4:k	Historia: Sydamerika: 1500-: historieforskning
Kqd.41	Historia: Sydamerika: 1500-1648
Kqd.43	Historia: Sydamerika: 1648-1789
Kqd.45	Historia: Sydamerika: 1789-1815
Kqd.46	Historia: Sydamerika: ca 1820-
Kqd.5(k)	Historia: Sydamerika: 1900-talet: kongresstryck
Kqd.5(p)	Historia: Sydamerika: 1900-talet: periodika
Kqd.5(u)	Historia: Sydamerika: 1900-talet: urkunder, lagar
Kqd.5	Historia: Sydamerika: 1900-talet
Kqd.5	Historia: Sydamerika: 1900-talet
Kqd.5:a	Historia: Sydamerika: 1900-talet: bibliografi
Kqd.54	Historia: Sydamerika: andra världskriget 1939-1945
Kqd.55(k)	Historia: Sydamerika: 1945-: kongresstryck
Kqd.55(p)	Historia: Sydamerika: 1945-: periodika
Kqd.55	Historia: Sydamerika: 1945-
Kqd.58	Historia: Sydamerika: 1980-
Kqd.59	Historia: Sydamerika: 1990-
Kqd.6	Historia: Sydamerika: 2000-
Kqda(p)	Historia: Colombia: periodika
Kqda(u)	Historia: Colombia: urkunder, lagar
Kqda	Historia: Colombia
Kqda:a	Historia: Colombia: bibliografi
Kqda.4	Historia: Colombia: 1500-
Kqda.4	Historia: Colombia: 1500-
Kqda.41	Historia: Colombia: 1500-1648
Kqda.43(u)	Historia: Colombia: 1648-1789: urkunder, lagar
Kqda.43	Historia: Colombia: 1648-1789
Kqda.45	Historia: Colombia: 1789-1815
Kqda.46(u)	Historia: Colombia: 1819-: urkunder, lagar
Kqda.46	Historia: Colombia: 1819-
Kqda.5	Historia: Colombia: 1900-talet
Kqda.5	Historia: Colombia: 1900-talet
Kqda.55	Historia: Colombia: 1945-
Kqda.58	Historia: Colombia: 1980-
Kqda.59	Historia: Colombia: 1990-
Kqda.6	Historia: Colombia: 2000-
Kqdb(p)	Historia: Venezuela: periodika
Kqdb	Historia: Venezuela
Kqdb.4(u)	Historia: Venezuela: 1500-: urkunder, lagar
Kqdb.4	Historia: Venezuela: 1500-
Kqdb.46	Historia: Venezuela: 1830-
Kqdb.5	Historia: Venezuela: 1900-talet
Kqdb.55	Historia: Venezuela: 1945-
Kqdb.55	Historia: Venezuela: 1945-
Kqdb.6	Historia: Venezuela: 2000-
Kqdc	Historia: Guyanastaterna
Kqdca	Historia: Brittiska Guyana och Guyana
Kqdca.55	Historia: Brittiska Guyana och Guyana: 1945-
Kqdca.6	Historia: Brittiska Guyana och Guyana: 2000-
Kqdcb.4	Historia: Franska Guyana: 1500-
Kqdcc	Historia: Holländska Guyana och Surinam
Kqdcc.4	Historia: Holländska Guyana och Surinam: 1500-
Kqdcc.5	Historia: Holländska Guyana och Surinam: 1900-talet
