SAB	Översättning
Aa.09	Bibliografi: övrigt
Aa.091(p)	Bibliografi: kongresstryck och konferenstryck: periodika
Aa.091	Bibliografi: kongresstryck och konferenstryck
Aa.093	Bibliografi: bilder
Aa.094(p)	Bibliografi: kartor: periodika
Aa.094	Bibliografi: kartor
Aa.094-oec	Bibliografi: kartor: Japan
Aa.095	Bibliografi: ljudupptagningar
Aa.096(p)	Bibliografi: mikroformer: periodika
Aa.096	Bibliografi: mikroformer
Aa.097(p)	Bibliografi: videoinspelningar och filminspelningar: periodika
Aa.097	Bibliografi: videoinspelningar och filminspelningar
Aa.099	Bibliografi: talböcker och böcker med punktskrift
Aa.dd(p)	Bibliografi: metodlära: periodika
Aa.e	Bibliografi: uppfostran och undervisning
Aa-a(p)	Bibliografi: Europa: periodika
Aa-a	Bibliografi: Europa
Aa-a.011	Bibliografi: Europa: periodikaförteckningar
Aa-a.012	Bibliografi: Europa: författarlexikon
Aa-a.018	Bibliografi: Europa: officiellt tryck
Aa-a.043(p)	Bibliografi: Europa: referatpublikationer: periodika
Aa-a.061	Bibliografi: Europa: barnböcker och ungdomsböcker
Aa-a.08	Bibliografi: Europa: elektroniska resurser (maskinläsbara datafiler)
Aa-ae.097	Bibliografi: Europeiska unionen: videoinspelningar och filminspelningar
Aa-b	Bibliografi: Norden
Aa-b.011	Bibliografi: Norden: periodikaförteckningar
Aa-b.012	Bibliografi: Norden: författarlexikon
Aa-b.016	Bibliografi: Norden: översättningar
Aa-b.018	Bibliografi: Norden: officiellt tryck
Aa-b.021	Bibliografi: Norden: handskrifter
Aa-b.05	Bibliografi: Norden: avhandlingar och program
Aa-b.061	Bibliografi: Norden: barnböcker och ungdomsböcker
Aa-b.065	Bibliografi: Norden: skolböcker
Aa-b.08	Bibliografi: Norden: elektroniska resurser (maskinläsbara datafiler)
Aa-c(p)	Bibliografi: Sverige: periodika
Aa-c(p)/D	Bibliografi: Sverige: periodika: maskinläsbara datafiler
Aa-c	Bibliografi: Sverige
Aa-c:b	Bibliografi: Sverige: forskning
Aa-c.01(p)	Bibliografi: Sverige: nationalbibliografier: periodika
Aa-c.01	Bibliografi: Sverige: nationalbibliografier
Aa-c.011(p)	Bibliografi: Sverige: periodikaförteckningar: periodika
Aa-c.011	Bibliografi: Sverige: periodikaförteckningar
Aa-c.012(p)	Bibliografi: Sverige: författarlexikon: periodika
Aa-c.012	Bibliografi: Sverige: författarlexikon
Aa-c.014	Bibliografi: Sverige: anonymlexikon och pseudonymlexikon
Aa-c.016	Bibliografi: Sverige: översättningar
Aa-c.018(p)	Bibliografi: Sverige: officiellt tryck: periodika
Aa-c.018	Bibliografi: Sverige: officiellt tryck
Aa-c.021	Bibliografi: Sverige: handskrifter
Aa-c.03(p)	Bibliografi: Sverige: standardkataloger: periodika
Aa-c.03	Bibliografi: Sverige: standardkataloger
Aa-c.04(p)	Bibliografi: Sverige: tidskriftsindex och tidningsindex: periodika
Aa-c.04	Bibliografi: Sverige: tidskriftsindex och tidningsindex
Aa-c.05(p)	Bibliografi: Sverige: avhandlingar och program: periodika
Aa-c.05	Bibliografi: Sverige: avhandlingar och program
Aa-c.06	Bibliografi: Sverige: barnböcker och skolböcker
Aa-c.061(p)	Bibliografi: Sverige: barnböcker och ungdomsböcker: periodika
Aa-c.061	Bibliografi: Sverige: barnböcker och ungdomsböcker
Aa-c.065	Bibliografi: Sverige: skolböcker
Aa-c.08	Bibliografi: Sverige: elektroniska resurser (maskinläsbara datafiler)
Aa-c.092	Bibliografi: Sverige: festskrifter
Aa-c.094(p)	Bibliografi: Sverige: kartor: periodika
Aa-c.094	Bibliografi: Sverige: kartor
Aa-c.095(p)	Bibliografi: Sverige: ljudupptagningar: periodika
Aa-c.095	Bibliografi: Sverige: ljudupptagningar
