libris_id,mods_identifier_type,mods_identifier_value
8s7f5g9m6bxnk4cx,GRID,A10302B0004045427H
xgw4th3gv9cgrr4w,GRID,A10302B0004979282N
l4ktknfsjf9pp3mh,GRID,A10302B0005897844T
r9qzsp5rpzdjhdjb,GRID,A10302B0000191130D
tcs2r6wsr86359tp,GRID,A10302B00092428419
7r6f4vg25jpd1dqq,GRID,A10306F0000002DMT7
l4ktkflgjsd8dp15,GRID,A10302B00074490457
bv9h7jf98h0gxldd,GRID,A10302B00044263889
k3jrg4swhkmkff3d,GRID,A10302B00053545436
sbr1rvmpqvcjqqx3,GRID,A10302B0005835420F
p7nxm2smm1jqpstj,GRID,A10302B0005703893U
r9qxn2s0pzcjgqqq,GRID,A10302B0003429120S
fzdmflr7cnf6f16r,GRID,A10302B0000343901X
6q5d3tgv4pjkjr64,GRID,A10302B00088329078
7r6g628s5p6g0j3k,GRID,A10302B0007109036D
2l18zmbg01043m4g,GRID,A10302B0004928236Q
bv9k9d6486r745fw,GRID,A10306F0000000NZE5
h1gpfjljfx65s0dw,GRID,A10302B0004418033U
0jz61xf9xv90qsqj,GRID,A10302B0003425942G
1k08zd4lz9jcxpx4,GRID,A10302B0005666176N
9t8h6xlq7kjwq1mw,GRID,A10302B0008731563U
p7nxnjrtm0rwrqp9,GRID,A10302B0006096862S
5p4b2ccg3fl3j8j7,GRID,A10302B0003284504C
zhx5xchfwpvgzvgf,GRID,A10302B00002289846
h1gpd2s6f188sx6m,GRID,A10302B0005367222Y
dxcmcg9xbddsz0t3,GRID,A10302B0007141866T
2l1830hz0qzx4r8q,GRID,A10302B00034729723
6q5f4kbn4grw5cw7,GRID,A10306F0000000V94W
xgw3t71zvbkpgnh8,GRID,A10302B0003473116U
cwbk80pk99ms9kgv,GRID,A10302B0008660939F
9t8j84c6798fgmrx,GRID,A10302B0007659521T
k3jqgrtth52w7b88,GRID,A10302B0003429098R
9t8h8pvs7pq4cpb9,GRID,A10302B00003330989
fzdmb0rsch2j65bk,GRID,A10302B00053313690
fzdndjcpcjvbdjkx,GRID,A10302B00077801559
j2hqkg00g8nbq03n,GRID,A10302B00013273333
0jz5w94xx2rmj835,GRID,A10302B00034291476
tcs1qg5prjrgjqrg,GRID,A10302B00084555761
