hubTitle	entity
Evangelier och epistlar	Evangelier och epistlar 1786
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1747 · Polyglott.
Bibeln. Evangelierna	Bibeln · [Evangelierna] · swe
Bibeln	Bibeln. · Authorized. · 1678. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · krc
Tipiṭaka	Tipitaka. · [Kokuyaku issaikyo]
Bibeln. Apostlagärningarna	Bibeln. · [Apostlagärningarna.] · Vepsiska
Bibeln	Bibeln. · spa
Hallfreðar saga Vandræðaskálds	Hallfreðar saga vandræðaskálds. · swe
Bibeln	Bibeln. · Authorized. · 1676. · eng
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1703. · 1814 Rumstedt. · swe
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1686 · fin
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · luo
Bibeln	Bibeln. Ukrainska
Talmud. Minor tractates	Talmud. · [Minor tractates.] · eng
Bibeln. Ester	Bibeln. · [Ester. Danska]
Kormáks saga	Kormaks saga. · eng
Koranen	Koranen · ota
Haggadah	Haggadah. · 2012. · English & Hebrew.
Psalmböcker	Psalmboken 1607 Lübeck
Bibeln. Gamla Testamentet	Bibeln. · [Gamla Testamentet.] · lat
Bibeln. Nya Testamentet	Bibeln. · [Nya Testamentet.] · 1655 · Latin & Franska.
Bibeln	Bibeln. Holländska
Bibeln. Nya Testamentet. Urval	Bible. · [N.T.] · Selections. · Taverner. · 1545.
Bibeln. Psaltaren	Bibeln. · [Psaltaren]
Evangelier och epistlar	Evangelier och epistlar 1813 Örebro.
Midrash Proverbs	Midrash Proverbs
Bibeln. Moseboken 3	Bibeln. · [Moseboken 3] · Arameiska & hebreiska
Bibeln	Bibeln. · 1839 · swe
Bibeln	Bibeln. · Tyndale-Coverdale. · 1551. · eng
Sörla þáttur	Sörla þáttur. · Latin & Svenska
Tripiṭaka. Sūtrapiṭaka. Laṅkāvatārasūtra	Tripiṭaka. · [Sūtrapiṭaka., Laṅkāvatārasūtra]
Upanishaderna. Br̥hadāraṇyakopaniṣad	Upanishads. · [Br̥hadaraṇyakopaṇiṣad.] · English & Sanskrit.
Bibeln	Bibeln. · Luther. · 1900 · ger
